Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
"BLDC-2023-010922","Building Commercial - Alteration","Finaled","","07/31/2024","10/18/2023","04/08/2026","10/10/2025","Permit","22916  INTERNATIONAL DR  STERLING VA 20166","034365461000","WMW EVERYWHERE AND ERE"
"BLDC-2023-010937","Building Commercial - Alteration","Issued","","10/30/2023","10/18/2023","04/29/2024","","Permit","45110  LOUDOUN DOWNS LN  STERLING VA 20166","045282657000","iad 88 air handler undeferral"
"BLDC-2023-010943","Building Commercial - Alteration","Issued","","10/24/2023","10/18/2023","04/22/2024","","Permit","45111  LOUDOUN DOWNS LN  STERLING VA 20166","045282657000","iad 89 air handler undeferral"
"BLDC-2023-010944","Building Commercial - Alteration","Finaled","","03/29/2024","10/18/2023","12/14/2026","06/16/2026","Permit","21271  SMITH SWITCH RD  ASHBURN VA 20147","060485060000","iad 50 rack installation"
"BLDC-2023-010945","Building Commercial - Alteration","Issued","","03/29/2024","10/18/2023","09/25/2024","","Permit","45220 PROLOGIS PLZ Unit: 110 STERLING VA 20166","045391908000","iad 51 rack installation"
"BLDC-2023-010946","Building Commercial - Alteration","Issued","","03/29/2024","10/18/2023","09/25/2024","","Permit","45210 PROLOGIS PLZ Unit: 115 STERLING VA 20166","045391908000","iad 56 rack installation"
"BLDC-2023-010947","Building Commercial - Alteration","Finaled","","03/27/2024","10/18/2023","02/09/2027","08/13/2026","Permit","22755  RELOCATION DR  STERLING VA 20166","045175529000","iad 57 rack installation"
"BLDC-2023-010948","Building Commercial - Alteration","Issued","","04/25/2024","10/18/2023","12/14/2026","","Permit","21267  SMITH SWITCH RD  ASHBURN VA 20147","060485060000","iad 60 rack installation"
"BLDC-2023-010951","Building Commercial - Alteration","Finaled","","03/29/2024","10/18/2023","12/21/2026","06/22/2026","Permit","25316  PREDICTION LN  CHANTILLY VA 20152","097354183000","iad 65 rack installation"
"BLDC-2023-010952","Building Commercial - Alteration","Issued","","10/24/2023","10/18/2023","02/08/2027","","Permit","22945  INTERNATIONAL DR  STERLING VA 20166","034357851000","iad 144 rack installation"
"BLDC-2023-010953","Building Commercial - Alteration","Issued","","03/29/2024","10/18/2023","09/25/2024","","Permit","25430  SUTTON BAY PLZ  CHANTILLY VA 20152","097398776000","iad 150 rack installation"
"BLDC-2023-011100","Building Commercial - Alteration","Issued Certificate of Occupancy","","11/22/2023","10/19/2023","09/17/2024","11/09/2023","Permit","22271  SHELLHORN RD  ASHBURN VA 20147","089104437000","Renovation of an open office space"
"BLDC-2023-011624","Building Commercial - Alteration","Finaled","","11/16/2023","10/24/2023","11/25/2024","05/28/2024","Permit","43701  CLUBBER LN  CHANTILLY VA 20152","097354183000","Remove and relocate interior walls to allow for future equipment."
"BLDC-2023-011736","Building Commercial - Alteration","Finaled","","11/09/2023","10/24/2023","02/09/2026","08/11/2025","Permit","45110  LOUDOUN DOWNS LN  STERLING VA 20166","045282657000","iad 88 wmw and ere"
"BLDC-2023-011789","Building Commercial - Alteration","Cancelled","","","10/24/2023","","","Permit","20575  CELTIC PARK DR  LEESBURG VA 20175","193180871000","Building 1 of 2 on the campus, interior fit out
EXISTING FUNCTION: CORE/SHELL 3 STORY FLEX WAREHOUSE AND COMMERCIAL OFFICE
PURPOSE OF ALTERATION: 3 STORY SINGLE TENANT COMPUTER DATA CENTER
Associated grading permit: (County #X20231280001)"
"BLDC-2023-011793","Building Commercial - Alteration","Cancelled","","","10/24/2023","","","Permit","20335  CELTIC PARK DR  LEESBURG VA 20175","193180871000","Building 2 of 2 on the campus, interior fit out
EXISTING FUNCTION: CORE/SHELL 3 STORY FLEX WAREHOUSE AND COMMERCIAL OFFICE
PURPOSE OF ALTERATION: 3 STORY SINGLE TENANT COMPUTER DATA CENTER
Associated grading permit: (County #X20231280001)"
"BLDC-2023-012293","Building Commercial - Alteration","Issued Certificate of Occupancy","","12/05/2023","10/26/2023","11/18/2025","05/22/2025","Permit","24400  HOWLING ROOSTER LN  STERLING VA 20166","162176713000","Fitout of existing warehouse space with server equipment, including power and HVAC distribution."
"BLDC-2023-012580","Building Commercial - Alteration","Issued","","12/15/2023","10/30/2023","07/01/2024","","Permit","22271  BRODERICK DR  STERLING VA 20166","044152877000","The submission of this Permit Application will be for the remove/replacement of existing doors and frames in our third (3rd) floor datahalls.  

This work will entail the removal of existing doors and frames and replacing them with new doors and frames."
"BLDC-2023-013662","Building Commercial - Alteration","Expired","","11/12/2023","11/03/2023","05/10/2024","","Permit","44495  GIGABIT PLZ  ASHBURN VA 20147","088407447000","The proposed scope is for the client fit out of the Vault 2.1 space inside of previously constructed NTT VA6 facility. The client fit out of Vault 2.1 space is previously permitted under B30610240100 but is intended to be separated into a standalone permit with this new permit. The client fit out of the Vault 2.1 space will be removed from the aforementioned existing T.I. permit B30610240100."
"BLDC-2023-014221","Building Commercial - Sales Trailer","Not Required","","","11/06/2023","","","Permit","","194498227000","24x 60 temp construction trailer for WT"
"BLDC-2023-014291","Building Commercial - Alteration","Issued","","12/20/2023","11/06/2023","06/17/2024","","Permit","44761  GIGABIT PLZ  ASHBURN VA 20147","088407447000","Hot Aisle Containment installation"
"BLDC-2023-014466","Building Commercial - Alteration","Finaled","","04/01/2024","11/07/2023","02/03/2027","08/07/2026","Permit","45360 W SEVERN WAY  STERLING VA 20166","042200988000","IAD 10 RACK INSTALLATIONS"
"BLDC-2023-014467","Building Commercial - Alteration","Issued","","04/01/2024","11/07/2023","09/28/2024","","Permit","43790 DEVIN SHAFRON DR Unit: 101 ASHBURN VA 20147","089374763001","IAD 13 RACK INSTALLATIONS"
"BLDC-2023-014468","Building Commercial - Alteration","Finaled","","03/29/2024","11/07/2023","12/14/2026","06/16/2026","Permit","21263  SMITH SWITCH RD  ASHBURN VA 20147","060485060000","IAD 71 RACK INSTALLATION"
"BLDC-2023-014472","Building Commercial - Alteration","Issued","","03/29/2024","11/07/2023","09/25/2024","","Permit","22916  INTERNATIONAL DR  STERLING VA 20166","034365461000","IAD 145 RACK INSTALLATIONS"
"BLDC-2023-014487","Building Commercial - Alteration","Finaled","","11/17/2023","11/07/2023","10/30/2024","05/03/2024","Permit","44740  PERFORMANCE CIR  ASHBURN VA 20147","060209652000","DC16 PHASE 2.1 FITOUT"
"BLDC-2023-014604","Building Commercial - Alteration","Finaled","","12/05/2023","11/08/2023","11/25/2024","05/28/2024","Permit","25316  PREDICTION LN  CHANTILLY VA 20152","097354183000","Remove and relocate interior walls to allow for future equipment."
"BLDC-2023-015067","Building Commercial - Demolition","Finaled","","12/06/2023","11/09/2023","06/03/2024","05/09/2024","Permit","45580  TERMINAL DR  STERLING VA 20166","033165945000","Interior demo only permit"
"BLDC-2023-015742","Building Commercial - Alteration","Finaled","","12/20/2023","11/14/2023","07/30/2024","02/01/2024","Permit","43290  OLD OX RD  STERLING VA 20166","124369522000","New secure client cage and 2 exit signs."
"BLDC-2023-015745","Building Commercial - Alteration","Finaled","","12/18/2023","11/14/2023","09/03/2024","03/05/2024","Permit","21111  RIDGETOP CIR  STERLING VA 20166","030392674000","Constructing (4) small offices"
"BLDC-2023-016048","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","05/24/2024","11/15/2023","04/06/2026","10/08/2025","Permit","22275  LOCKRIDGE RD  STERLING VA 20166","062279710000","THE PROPOSED PROJECT IS A 3-STORY, SINGLE TENANT, PHASED INTERIOR BUILD-OUT OF AN EXISTING SHELL BUILDING FOR
USE AS A DATA CENTER - WHICH WILL HOUSE COMPUTERS, RELATED INFRASTRUCTURE, ADMINISTRATIVE/OFFICE AREAS, AND
DATA HALL WITH ASSOCIATED AIR HANDLING & ELECTRICAL EQUIPMENT IN PHASE 1. SUBSEQUENT DATA HALL AREA(S) WITH
ASSOCIATED AIR HANDLING & ELECTRICAL EQUIPMENT ROOMS SHALL BE CONTRUCTED IN SUCCESSIVE PHASES (REFER TO
ARCHITECT'S PHASING PLAN). PARTIAL/TEMPORARY OCCUPANCY WITH ASSOCIATED INSPECTIONS SHALL BE MADE AT THE
COMPLETION OF EACH PHASE, FOLLOWED BY FINAL INSPECTIONS AT THE END OF THE LAST PHASE TO ACCOMMODATE
TENANT OCCUPANCY OF THE ENTIRE BUILDING INTERIOR.
THE DRAWINGS, IN CONCERT WITH THE SPECIFICATIONS, COMPRISE THE CONTRACT DOCUMENTS OUTLINING THE DESIGN
INTENT AND PROJECT SCOPE, AND MAY BE SUPPLEMENTED BY FURTHER INFORMATION ISSUED BY ARCHITECT.
THE BUILDING'S AUTOMATIC DRY-PIPE SPRINKLER SYSTEM SHALL BE OPERATIONAL BEFORE OCCUPANCY OCCURS."
"BLDC-2023-016150","Building Commercial - Alteration","Issued","","01/18/2024","11/15/2023","07/16/2024","","Permit","24178  UPPER WOODSIDE LN  STERLING VA 20166","162392026000","IAD 81 SECONDARY DRAINAGE REMEDIATION"
"BLDC-2023-016518","Building Commercial - New Construction","Issued","","11/15/2024","11/17/2023","01/26/2027","04/04/2024","Permit","43975  LIGHT SPEED PLZ STERLING VA 20166","122208248000","2 STORY SINGLE TENANT COMPUTER DATA CENTER Associated grading permit: (County #X20222730001) BUILDING A . ISSUED FULL BUILDING APPROVAL"
"BLDC-2023-017003","Building Commercial - Alteration","Finaled","","01/29/2024","11/21/2023","11/12/2024","05/16/2024","Permit","22435  GLENN DR  STERLING VA 20164","032155119000","Installation of Hot-Aisle-Containment"
"BLDC-2023-017006","Building Commercial - Alteration","Finaled","","02/09/2024","11/21/2023","12/18/2024","06/21/2024","Permit","22271  SHELLHORN RD  ASHBURN VA 20147","089104437000","Installation of (16) Hot Aisle Containment Systems"
"BLDC-2023-017320","Building Commercial - Alteration","Issued","","12/28/2023","11/22/2023","06/25/2024","","Permit","43736  CLUBBER LN  CHANTILLY VA 20152","097354183000","ELECTRICAL ROOM UNDEFERRAL"
"BLDC-2023-017617","Building Commercial - Alteration","Finaled","","02/14/2024","11/28/2023","08/11/2025","11/18/2024","Permit","44820  PRENTICE DR  STERLING VA 20166","044370416000","Tenant Fit-Out/Data Hall in an existing Data Center Core and Shell."
"BLDC-2023-017645","Building Commercial - Alteration","Finaled","","04/02/2024","11/28/2023","05/26/2025","12/10/2024","Permit","44820  PRENTICE DR  STERLING VA 20166","044370416000","Tenant Fit-Out/Data Hall"
"BLDC-2023-017683","Building Commercial - Alteration","Cancelled","","","11/28/2023","","","Permit","21700 ATLANTIC BLVD Unit: 100 STERLING VA 20166","031356086000","meant to set up elec permit/slb"
"BLDC-2023-017709","Building Commercial - Alteration","Finaled","","02/07/2024","11/28/2023","11/06/2024","05/09/2024","Permit","45580  TERMINAL DR  STERLING VA 20166","033165945000","WARNER BROS TOC EXPANSION"
"BLDC-2023-017876","Building Commercial - New Construction","Issued Certificate of Occupancy","","10/15/2024","11/29/2023","01/05/2026","07/08/2025","Permit","21625 RED RUM DR Unit: 100 ASHBURN VA 20147","088381788000","Data Center"
"BLDC-2023-018105","Building Commercial - Alteration","Finaled","","03/11/2024","11/29/2023","08/11/2025","02/10/2025","Permit","45210  PROLOGIS PLZ  STERLING VA 20166","045391908000","MAKEUP WATER SYSTEM UPGRADES"
"BLDC-2023-018612","Building Commercial - New Construction","Issued","","06/07/2024","12/04/2023","02/03/2027","","Permit","21735  RED RUM DR  ASHBURN VA 20147","088392214000","Construction of a three story Data Center on an existing campus."
"BLDC-2023-019773","Building Commercial - Alteration","Finaled","","02/05/2024","12/11/2023","12/09/2024","06/10/2024","Permit","43290  OLD OX RD  STERLING VA 20166","124369522000","we are constructing a single office on the 2nd floor"
"BLDC-2023-020043","Building Commercial - Alteration","In Review","","01/25/2024","12/12/2023","07/23/2024","","Permit","44862  INTERCONNECTION PL  ASHBURN VA 20147","060307119000","IAD 78 ERUD"
"BLDC-2023-020047","Building Commercial - Alteration","Finaled","","02/02/2024","12/12/2023","10/21/2024","04/23/2024","Permit","44245  GIGABIT PLZ  ASHBURN VA 20147","088407447000","Interior alteration"
"BLDC-2023-020055","Building Commercial - Alteration","Issued","","01/29/2024","12/12/2023","07/27/2024","","Permit","44858  INTERCONNECTION PL  ASHBURN VA 20147","060307119000","IAD 79 ERUD"
"BLDC-2023-020077","Building Commercial - Alteration","Issued","","01/29/2024","12/12/2023","07/27/2024","","Permit","44854  INTERCONNECTION PL  ASHBURN VA 20147","060307119000","IAD 80 ERUD"
