Case Number,Type,Status,Project Name,Issued Date,Applied Date,Expiration Date,Finalized Date,Module Name,Address,Main Parcel,Description
"AMUSEC-2023-008659","Amusement Device - Construction","Void","","","10/04/2023","","","Permit","41975  LOUDOUN CENTER PL  LEESBURG VA 20175","191169866000","test LF files"
"B00036580500","Building Commercial - Tenant Fit-Up","Finaled","","09/25/2001","08/24/2001","","05/03/2006","Permit","22995 WILDER CT STERLING VA 20166","046368231000","TENANT FIT-UP ENTIRE BUILDING"
"B00112490100","Building Commercial - Tenant Fit-Up","Finaled","","05/19/2010","05/11/2010","","04/20/2011","Permit","22995 WILDER CT STERLING VA 20166","046368231000","TENANT FIT UP/NEW DATA CENTER"
"B00157090100","Building Commercial - Alteration","Finaled","","09/08/2010","08/31/2010","","12/01/2010","Permit","22001 LOUDOUN COUNTY PKWY ASHBURN VA 20147","061253412000","INTERIOR REMODEL"
"B00168120100","Building Commercial - Tenant Fit-Up","Finaled","","10/19/2010","10/01/2010","","12/13/2010","Permit","43915 DEVIN SHAFRON DR Unit: # 165 ASHBURN VA 20147","089382215000","FUTURE TENANT FIT UP"
"B00168130100","Building Commercial - Tenant Fit-Up","Finaled","","10/19/2010","10/01/2010","","11/22/2010","Permit","43915 DEVIN SHAFRON DR Unit: # 105 ASHBURN VA 20147","089382215000","FUTURE TENANT FIT UP"
"B00168340100","Building Commercial - Tenant Fit-Up","Finaled","","10/19/2010","10/04/2010","","12/13/2010","Permit","43915 DEVIN SHAFRON DR Unit: # 103 ASHBURN VA 20147","089382215000","FUTURE TENANT FIT UP"
"B00225670100","Building Commercial - Tenant Fit-Up","Finaled","","03/10/2020","02/13/2020","","01/29/2021","Permit","21741 RED RUM DR Unit: 120 ASHBURN VA 20147","088392214000","TENANT FIT UP"
"B00225730100","Building (Commercial) - Other - Legacy","Finaled","","03/10/2020","02/13/2020","","04/01/2021","Permit","21741 RED RUM DR Unit: 120 ASHBURN VA 20147","088392214000","MECHANICAL YARD"
"B00227720100","Building Commercial - New Construction","Finaled","","03/17/2020","02/18/2020","","10/22/2021","Permit","19515 COMPASS CREEK PKWY LEESBURG VA 20175","235297431000","NEW DATA CENTER"
"B00256750100","Building Commercial - Tenant Fit-Up","Finaled","","05/14/2020","04/06/2020","","12/23/2020","Permit","45200 VANTAGE DATA PLZ STERLING VA 20166","044288975001","TENANT FIT UP"
"B00263150100","Building Commercial - Addition","Finaled","","05/04/2020","04/20/2020","","12/06/2021","Permit","19515 COMPASS CREEK PKWY LEESBURG VA 20175","235297431000","ADDITION TO EXISTING DATA CENTER"
"B00263240100","Building Commercial - New Construction","Finaled","","08/24/2020","04/20/2020","","03/01/2022","Permit","19525 COMPASS CREEK PKWY LEESBURG VA 20175","235297431000","NEW DATA CENTER"
"B00278220100","Building Commercial - Tenant Fit-Up","Finaled","","06/02/2020","05/15/2020","","01/21/2021","Permit","21890 UUNET DR ASHBURN VA 20147","061355894000","TENANT FIT UP"
"B00289640100","Building Commercial - New Construction","Finaled","","06/25/2020","06/04/2020","","09/20/2021","Permit","21955 LOUDOUN COUNTY PKWY ASHBURN VA 20147","061177666001","NEW DATA CENTER"
"B00313090100","Building Commercial - New Construction","Finaled","","07/22/2020","07/07/2020","","05/17/2021","Permit","22291 SHELLHORN RD ASHBURN VA 20147","089100937000","NEW DATA CENTER"
"B00365540100","Building Commercial - Tenant Fit-Up","Finaled","","10/05/2021","09/16/2020","","06/21/2022","Permit","21195 ATLANTIC BLVD STERLING VA 20166","029151809000","TENANT FIT UP / PHASE 2"
"B00371820100","Building Commercial - Alteration","Finaled","","11/04/2020","09/24/2020","","08/25/2021","Permit","22916 INTERNATIONAL DR STERLING VA 20166","034365461000","REPAIRS TO EXISTING DATA CENTER"
"B00371910100","Building Commercial - Alteration","Finaled","","11/04/2020","09/24/2020","","08/25/2021","Permit","22916 INTERNATIONAL DR STERLING VA 20166","034365461000","REPAIRS TO EXISTING DATA CENTER"
"B00371950100","Building Commercial - Alteration","Issued","","11/22/2021","09/24/2020","","","Permit","STERLING VA 20166","045159083000","EXISTING MECH. COOLING AT ELEC. ROOMS"
"B00424980100","Building Commercial - Alteration","Issued","","02/11/2021","12/15/2020","","","Permit","22916 INTERNATIONAL DR STERLING VA 20166","034365461000","REPAIRS TO EXISTING DATA CENTER"
"B10004570100","Building Commercial - New Construction","Finaled","","10/31/2000","02/08/2000","","07/03/2001","Permit","20071 MEDALIST DR ASHBURN VA 20147","113198478000","RECREATION CENTER   LAND BAY G"
"B10219880100","Building Commercial - Alteration","Finaled","LOUDOUN STATION PROJECT","10/11/2011","09/29/2011","","04/18/2012","Permit","43790 DEVIN SHAFRON DR Unit: 101 ASHBURN VA 20147","089374763001","DATA CENTER"
"B10275570100","Building Commercial - New Construction","Finaled","ARCOLA CENTER PROJECT","03/19/2021","02/09/2021","","07/22/2022","Permit","24550 HOWLING ROOSTER LN STERLING VA 20166","162176713000","DATA CENTER"
"B10275570200","Building Commercial - New Construction","Finaled","ARCOLA CENTER PROJECT","04/15/2022","03/30/2022","","09/19/2022","Permit","24550 HOWLING ROOSTER LN STERLING VA 20166","162176713000","DATA CENTER"
"B10289640100","Building Commercial - Alteration","Issued","","03/23/2021","03/01/2021","","","Permit","44760 GIGABIT PLZ ASHBURN VA 20147","088407447000","HOT AISLE CONTAINMENT"
"B10294130100","Building Commercial - Tenant Fit-Up","Finaled","","03/22/2021","03/08/2021","","04/14/2021","Permit","21745 RED RUM DR Unit: 242 ASHBURN VA 20147","088392214000","TENANT FIT UP"
"B10336730100","Building Commercial - Tenant Fit-Up","Finaled","","05/20/2021","05/03/2021","","05/24/2022","Permit","21745 RED RUM DR Unit: 140 ASHBURN VA 20147","088392214000","TENANT FIT UP/FUTURE TENANT"
"B10344790100","Building Commercial - Tenant Fit-Up","Issued","","05/21/2021","05/12/2021","07/08/2024","","Permit","44760 GIGABIT PLZ ASHBURN VA 20147","088407447000","TENANT IMPROVEMENTS"
"B10353600100","Building Commercial - New Construction","Finaled","","08/05/2021","05/24/2021","","10/18/2022","Permit","45070 VANTAGE DATA PLZ STERLING VA 20166","044381108001","NEW DATA CENTER"
"B10360310100","Building Commercial - Miscellaneous Structure","Cancelled","","06/28/2021","06/02/2021","","","Permit","44761 GIGABIT PLZ ASHBURN VA 20147","088407447000","SIGN / DIRECTIONAL /FREESTANDING"
"B10372220100","Building Commercial - Alteration","Finaled","","07/14/2021","06/21/2021","","08/24/2022","Permit","21745 RED RUM DR Unit: 110 ASHBURN VA 20147","088392214000","NEW DATA HALL"
"B10376230100","Building Commercial - New Construction","Finaled","ARCOLA CENTER PROJECT","07/16/2021","06/24/2021","","07/28/2022","Permit","24550 HOWLING ROOSTER LN STERLING VA 20166","162176713000","NEW CONSTRUCTION / EQUIPMENT YARD"
"B10394840100","Building Commercial - New Construction","Not Required","","","07/20/2021","","","Permit","41840 GROWTH MINDSET LN ALDIE VA 20105","203354208000","NEW CONST./FOUNDATION ONLY"
"B10394840200","Building Commercial - New Construction","Issued Certificate of Occupancy","","10/12/2021","08/04/2021","07/30/2024","01/31/2024","Permit","41840 GROWTH MINDSET LN ALDIE VA 20105","203354208000","NEW CONST./CORE & SHELL"
"B10394900100","Building Commercial - Miscellaneous Structure","Finaled","","09/10/2021","07/20/2021","03/26/2024","01/24/2025","Permit","41840 GROWTH MINDSET LN ALDIE VA 20105","203354208000","RETAINING WALL"
"B10399400100","Building Commercial - New Construction","Issued Certificate of Occupancy","","06/29/2022","07/27/2021","11/17/2025","05/21/2025","Permit","44631 WAXPOOL RD ASHBURN VA 20147","061285496000","NEW DATA CENTER"
"B10411920100","Building Commercial - Miscellaneous Structure","Finaled","","08/18/2021","08/13/2021","","09/10/2021","Permit","44761 GIGABIT PLZ ASHBURN VA 20147","088407447000","SIGN / DIRECTIONAL /FREESTANDING"
"B10415820100","Building Commercial - New Construction","Issued Certificate of Occupancy","","03/02/2022","08/19/2021","09/03/2024","04/05/2024","Permit","44495 GIGABIT PLZ ASHBURN VA 20147","088407447000","NEW DATA CENTER"
"B10415920100","Building Commercial - New Construction","Issued Certificate of Occupancy","","08/31/2022","08/19/2021","05/07/2024","11/15/2023","Permit","21529 BEAUMEADE CIR ASHBURN VA 20147","042152579000","DATA CENTER"
"B10428470100","Building Commercial - Alteration","Finaled","","09/23/2021","09/07/2021","","11/01/2021","Permit","45194 VANTAGE DATA PLZ STERLING VA 20166","044288975002","HOT AISLE CONTAINMENT"
"B10441240100","Building Commercial - Alteration","Finaled","","10/05/2021","09/28/2021","","11/16/2021","Permit","45194 VANTAGE DATA PLZ STERLING VA 20166","044288975002","HOT AISLE CONTAINMENT"
"B10463800100","Building Commercial - New Construction","Finaled","","01/20/2022","10/28/2021","","01/05/2023","Permit","21630 RED RUM DR ASHBURN VA 20147","088481748000","NEW DATA CENTER"
"B10483660100","Building Commercial - Tenant Fit-Up","Finaled","","12/20/2021","11/30/2021","","03/09/2022","Permit","44761 GIGABIT PLZ ASHBURN VA 20147","088407447000","TENANT FIT UP"
"B10495230100","Building Commercial - New Construction","Issued Certificate of Occupancy","","03/21/2022","12/16/2021","06/10/2024","12/19/2023","Permit","44740 PERFORMANCE CIR ASHBURN VA 20147","060209652000","DATA CENTER"
"B20269930100","Building Commercial - Alteration","Finaled","","01/13/2012","01/06/2012","","03/30/2012","Permit","43831 DEVIN SHAFRON DR ASHBURN VA 20147","089372808000","HOT AISLE CURTAINS IN DATA CENTER"
"B20269950100","Building Commercial - Alteration","Finaled","","01/13/2012","01/06/2012","","03/15/2012","Permit","STERLING VA 20166","045159083000","HOT AISLE CURTAINS IN DATA CENTER"
"B20281070100","Building Commercial - Tenant Fit-Up","Finaled","","02/15/2012","02/02/2012","","05/16/2012","Permit","45360 SEVERN WAY W STERLING VA 20166","042200988000","TENANT FIT UP/OFFICE RENOVATION"
"B20340660100","Building Commercial - New Construction","Finaled","","06/29/2012","05/29/2012","","03/27/2013","Permit","43940 DIGITAL LOUDOUN PLZ ASHBURN VA 20147","089291706000","NEW DATA CENTER"
"B20394550100","Building Commercial - Tenant Fit-Up","Finaled","","10/17/2012","09/13/2012","","07/30/2015","Permit","44664 GUILFORD DR Unit: # 141 ASHBURN VA 20147","060298548000","TENANT FIT UP"
"B20394560100","Building Commercial - Addition","Finaled","","10/17/2012","09/13/2012","","07/30/2015","Permit","44664 GUILFORD DR Unit: # 141 ASHBURN VA 20147","060298548000","EXPANSION"
"B20448700100","Building Commercial - New Construction","Issued Certificate of Occupancy","","04/11/2022","01/14/2022","04/14/2025","10/16/2024","Permit","45130 VANTAGE DATA PLZ STERLING VA 20166","044381108002","DATA CENTER"
"B20448810100","Building Commercial - Tenant Fit-Up","Finaled","","02/16/2022","01/14/2022","","01/24/2023","Permit","45070 VANTAGE DATA PLZ STERLING VA 20166","044381108001","TENANT FIT UP"
"B20456920100","Building Commercial - New Construction","Finaled","","03/09/2022","01/27/2022","","01/27/2023","Permit","44675 QUALITY TECH LN STERLING VA 20166","063498140000","NEW DATA CENTER"
"B20502130100","Building Commercial - Alteration","Cancelled","","04/25/2022","03/30/2022","","","Permit","43915 DEVIN SHAFRON DR Unit: # 120 ASHBURN VA 20147","089382215000","DATA CENTER RENOVATIONS"
"B20539370100","Building Commercial - Alteration","Finaled","","10/31/2022","05/18/2022","02/08/2027","08/11/2026","Permit","21715 FILIGREE CT ASHBURN VA 20147","061483407000","DATA CENTER RENOVATION"
"B20563590100","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","08/10/2022","06/22/2022","03/25/2024","10/26/2023","Permit","21745 RED RUM DR Unit: 130 ASHBURN VA 20147","088392214000","TENANT FIT UP"
"B20564260100","Building Commercial - New Construction","Issued Certificate of Occupancy","","08/15/2022","06/23/2022","05/06/2025","09/24/2025","Permit","43920 LONE CEDAR LN CHANTILLY VA 20152","096183926000","NEW SHELL AND T L"
"B20579100100","Building Commercial - New Construction","Finaled","","10/13/2022","07/14/2022","09/17/2025","05/16/2024","Permit","22715 RELOCATION DR STERLING VA 20166","045279612000","NEW CONSTRUCTION. revisions. electronic copy"
"B20582330100","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","08/03/2022","07/19/2022","08/28/2024","03/20/2024","Permit","21745 RED RUM DR Unit: 120 ASHBURN VA 20147","088392214000","TENANT FIT UP"
"B20586540100","Building Commercial - Alteration","Finaled","","08/29/2022","07/25/2022","04/29/2024","07/13/2023","Permit","45905 MARIES RD STERLING VA 20166","030296913000","INTERIOR DATA HALL - DH20"
"B20600690100","Building Commercial - New Construction","Issued Certificate of Occupancy","","10/13/2022","08/12/2022","05/14/2025","10/22/2024","Permit","24171 YOUNGWOOD LN ALDIE VA 20105","203371445000","NEW CONSTUCTION / DATA CENTER"
"B20616170100","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","09/14/2023","09/07/2022","04/27/2026","11/03/2025","Permit","41679 INCLUSION LN LEESBURG VA 20175","235297431000","FIT UP / COLO 4"
"B20619100100","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","05/24/2023","09/12/2022","10/13/2026","04/16/2026","Permit","24224 QUAIL RIDGE LN ALDIE VA 20105","246200886000","TENANT FIT UP /PHASE 2"
"B20654800100","Building Commercial - New Construction","Issued Certificate of Occupancy","","03/10/2023","11/04/2022","10/23/2024","04/30/2024","Permit","22588 RELOCATION DR STERLING VA 20166","045399350000","NEW CONSTRUCTION / SHELL"
"B20655910100","Building Commercial - New Construction","Issued","","05/25/2023","11/07/2022","12/14/2026","","Permit","24234 QUAIL RIDGE LN ALDIE VA 20105","246203645000","DATA CENTER SHELL"
"B20656720100","Building Commercial - New Construction","Issued","","05/25/2023","11/09/2022","01/11/2027","","Permit","24214 QUAIL RIDGE LN ALDIE VA 20105","246203645000","DATA CENTER SHELL"
"B20683790100","Building Commercial - New Construction","Issued Certificate of Occupancy","","04/11/2023","12/28/2022","10/22/2024","04/26/2024","Permit","22435 GLENN DR STERLING VA 20164","032155119000","NEW DATA CENTER"
"B30061720100","Building Commercial - Alteration","Finaled","UNIVERSITY CENTER PROJECT","02/04/2003","01/28/2003","","01/21/2004","Permit","44983 KNOLL SQ ASHBURN VA 20147","039168997000","INTERIOR RENOVATION TO DATA CENTER"
"B30278430100","Building Commercial - Tenant Fit-Up","Finaled","","02/08/2013","01/23/2013","","08/07/2013","Permit","STERLING VA 20166","042295813000","TENANT FIT UP/DATA CENTER"
"B30295890100","Building Commercial - New Construction","Finaled","","03/21/2013","02/21/2013","","02/28/2014","Permit","43940 DIGITAL LOUDOUN PLZ ASHBURN VA 20147","089291706000","DATA CENTER/ADDITION"
"B30339440100","Building Commercial - New Construction","Finaled","","05/16/2013","04/30/2013","","02/03/2014","Permit","21271 SMITH SWITCH RD ASHBURN VA 20147","060485060000","SHELL BLD/DATA CENTER W/CORE WORK"
"B30344710100","Building Commercial - New Construction","Finaled","","06/07/2013","05/07/2013","","07/21/2014","Permit","21625 GRESHAM DR ASHBURN VA 20147","061467942000","DATA CENTER"
"B30422750100","Building Commercial - New Construction","Finaled","","10/22/2013","09/20/2013","","08/26/2014","Permit","44060 DIGITAL LOUDOUN PLZ ASHBURN VA 20147","089291706000","DATA CENTER"
"B30437060100","Building Commercial - Alteration","Finaled","","10/24/2013","10/18/2013","","04/23/2014","Permit","21110 RIDGETOP CIR STERLING VA 20166","030399036000","RENOVATION"
"B30475780100","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","03/10/2023","01/04/2023","10/23/2024","04/30/2024","Permit","22588 RELOCATION DR STERLING VA 20166","045399350000","TENANT FIT UP"
"B30479000100","Building Commercial - Tenant Fit-Up","Finaled","","03/16/2023","01/11/2023","","05/09/2023","Permit","22175 BEAUMEADE CIR ASHBURN VA 20147","061298643000","TENANT FIT UP / SEE NARRATIVE"
"B30479070100","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","03/16/2023","01/11/2023","05/13/2024","11/15/2023","Permit","22175 BEAUMEADE CIR ASHBURN VA 20147","061298643000","TENANT FIT UP / SEE NARRATIVE"
"B30479610100","Building Commercial - Alteration","Issued","","01/24/2023","01/12/2023","07/24/2023","","Permit","44761 GIGABIT PLZ ASHBURN VA 20147","088407447000","HOT AISLE CONTAINMENT"
"B30500150100","Building Commercial - Alteration","Finaled","","03/10/2023","02/14/2023","11/13/2024","05/17/2024","Permit","22588 RELOCATION DR STERLING VA 20166","045399350000","DATA HALL FIT OUT"
"B30531920100","Building Commercial - New Construction","Issued Certificate of Occupancy","","05/26/2023","04/03/2023","09/08/2026","05/01/2026","Permit","21800 BEAUMEADE CIR ASHBURN VA 20147","061307718000","NEW DATA CENTER"
"B30532660100","Building Commercial - New Construction","Issued Certificate of Occupancy","","04/05/2023","04/04/2023","06/10/2024","12/19/2023","Permit","44740 PERFORMANCE CIR ASHBURN VA 20147","060209652000","DATA CENTER"
"B30565920100","Building Commercial - Tenant Fit-Up","Issued Certificate of Occupancy","","08/28/2023","05/23/2023","09/09/2024","03/29/2024","Permit","42310 THUNDERBALL DR LEESBURG VA 20175","194102562000","EXISTING TENANT / INTERIOR ALT."
"B30570710100","Building Commercial - New Construction","Issued Certificate of Occupancy","","07/10/2023","06/01/2023","08/13/2025","02/18/2025","Permit","22365 GLENN DR STERLING VA 20164","032155119000","NEW CONSTRUCTION / DATA CENTER"
"B30595980100","Building Commercial - New Construction","Issued Certificate of Occupancy","","11/17/2023","07/11/2023","01/06/2027","07/10/2026","Permit","43301 DATA DR ASHBURN VA 20147","113272390000","NEW CONSTRUCTION. electronic copy"
"B40276870100","Building Commercial - New Construction","Cancelled","","","01/27/2014","","","Permit","22745 RELOCATION DR STERLING VA 20166","045175529000","NEW DATA CENTER"
"B40278990100","Building Commercial - Tenant Fit-Up","Finaled","","02/18/2014","01/30/2014","","06/19/2014","Permit","43940 DIGITAL LOUDOUN PLZ ASHBURN VA 20147","089291706000","TENANT FIT UP/DATA CENTER"
"B40279470100","Building Commercial - Tenant Fit-Up","Finaled","","06/03/2014","01/31/2014","","10/09/2014","Permit","STERLING VA 20166","045391908000","TENANT FIT UP/DATA CENTER/PHASE I"
"B40285230100","Building Commercial - Tenant Fit-Up","Finaled","","06/03/2014","02/12/2014","","10/09/2014","Permit","STERLING VA 20166","045391908000","TENANT FIT UP/DATA CENTER/PHASE II"
"B40285240100","Building Commercial - Tenant Fit-Up","Finaled","","06/03/2014","02/12/2014","","10/22/2014","Permit","STERLING VA 20166","045391908000","TENANT FIT UP/DATA CENTER/PHASE III"
"B40285250100","Building Commercial - Tenant Fit-Up","Finaled","","06/03/2014","02/12/2014","","10/22/2014","Permit","STERLING VA 20166","045391908000","TENANT FIT UP/DATA CENTER/PHASE IV"
"B40316450100","Building Commercial - New Construction","Finaled","","05/15/2014","04/14/2014","","04/21/2015","Permit","21111 RIDGETOP CIR STERLING VA 20166","030392674000","DATA CENTER"
"B40429010100","Building Commercial - New Construction","Finaled","","02/03/2015","10/28/2014","","01/31/2018","Permit","ASHBURN VA 20147","060386530000","DATA CENTER"
"B40455430100","Building Commercial - Addition","Finaled","","02/03/2015","12/22/2014","","01/31/2018","Permit","ASHBURN VA 20147","060386530000","ADDITION"
"B50370260100","Building Commercial - Alteration","Cancelled","","","05/15/2015","","","Permit","21625 GRESHAM DR ASHBURN VA 20147","061467942000","DATA CENTER WORK"
"B50389010100","Building Commercial - Repair","Expired","","06/18/2015","06/15/2015","","","Permit","ASHBURN VA 20147","060298548000","RE-ROOF"
"B50419470100","Building Commercial - Demolition","Finaled","","08/13/2015","08/07/2015","","09/02/2016","Permit","21800 BEAUMEADE CIR ASHBURN VA 20147","061307718000","DEMO / INTERIOR"
"B50449830100","Building Commercial - New Construction","Finaled","","10/15/2015","10/06/2015","","06/14/2016","Permit","44862 INTERCONNECTION PL ASHBURN VA 20147","060307119000","NEW WAREHOUSE/DATA CENTER"
"B50453140100","Building Commercial - New Construction","Finaled","","12/04/2015","10/14/2015","","08/16/2016","Permit","44858 INTERCONNECTION PL ASHBURN VA 20147","060307119000","NEW WAREHOUSE/DATA CENTER"
"B50456040100","Building Commercial - New Construction","Finaled","","12/08/2015","10/20/2015","","03/22/2017","Permit","42949 FADELEY LN STERLING VA 20166","162392026000","DATA CENTER"
"B50485160100","Building Commercial - Tenant Fit-Up","Finaled","","12/31/2015","12/15/2015","","03/24/2016","Permit","21625 GRESHAM DR ASHBURN VA 20147","061467942000","TENANT FIT UP"
"B60098680100","Building Commercial - Tenant Fit-Up","Finaled","","08/30/2006","03/07/2006","","02/09/2007","Permit","21571 BEAUMEADE CIR ASHBURN VA 20147","060202337000","ALTERATIONS/EXISTING TENANT"
"B60258250100","Building Commercial - New Construction","Finaled","","03/16/2016","02/05/2016","","12/22/2016","Permit","43780 DIGITAL LOUDOUN PLZ ASHBURN VA 20147","089291706000","SHELL DATA CENTER/NO INTERIOR WALLS/CORE"
"B60271020100","Building Commercial - New Construction","Finaled","","04/08/2016","03/03/2016","","09/29/2016","Permit","44854 INTERCONNECTION PL ASHBURN VA 20147","060307119000","DATA CENTER"
"B60283300100","Building Commercial - New Construction","Finaled","","06/21/2016","03/23/2016","","04/21/2017","Permit","21745 SIR TIMOTHY DR ASHBURN VA 20147","061361948000","DATA CENTER"
"B60293770100","Building Commercial - New Construction","Finaled","","07/13/2016","04/08/2016","","08/25/2017","Permit","44790 PERFORMANCE CIR ASHBURN VA 20147","060209652000","DATA CENTER"
"B60370360100","Building Commercial - Tenant Fit-Up","Finaled","","09/26/2016","08/09/2016","","01/04/2017","Permit","22811 INTERNATIONAL DR STERLING VA 20166","034462865000","TENANT FIT UP / DATA CENTER"
"B60389740100","Building Commercial - Change of Use","Finaled","","02/16/2017","09/09/2016","","07/25/2017","Permit","21631 RED RUM DR Unit: # 100 ASHBURN VA 20147","088381788000","CHANGE OF USE/DATA CENTER"
"B60404370100","Building Commercial - Alteration","Issued","","10/13/2016","10/03/2016","","","Permit","22080 PACIFIC BLVD STERLING VA 20166","044261032000","REPLACE ROOF"
"B60426820100","Building Commercial - New Construction","Finaled","KINCORA PROJECT","12/06/2016","11/16/2016","","08/25/2017","Permit","21350 PACIFIC BLVD STERLING VA 20166","042394385001","DATA CENTER"
"B60430220100","Building Commercial - New Construction","Finaled","","01/13/2017","11/22/2016","","11/14/2017","Permit","45900 PATHFINDER PLZ STERLING VA 20164","033201325000","NEW SHELL BLD / WARM LIT"
"B60448860100","Building Commercial - Tenant Fit-Up","Finaled","","01/26/2017","12/28/2016","","09/11/2017","Permit","22080 PACIFIC BLVD STERLING VA 20166","044261032000","TENANT FIT UP"
"B70062791300","Building Commercial - New Construction","Finaled","","01/19/2000","12/09/1999","","07/14/2000","Permit","21830 UUNET DR ASHBURN VA 20147","088200644000","NEW BLDG - DATA CENTER"
"B70126130100","Building Commercial - New Construction","Finaled","COMMONWEALTH CENTER PROJECT","08/03/2007","05/01/2007","","10/28/2008","Permit","45005 RUSSELL BRANCH PKWY ASHBURN VA 20147","040464286000","DATA CENTER"
"B70236240100","Building Commercial - New Construction","Finaled","","03/13/2008","12/21/2007","","07/30/2009","Permit","44521 HASTINGS DR ASHBURN VA 20147","060170268000","NEW DATA CENTER"
"B70245830100","Building Commercial - New Construction","Finaled","","01/27/2017","01/20/2017","","01/23/2018","Permit","44245 GIGABIT PLZ ASHBURN VA 20147","088407447000","DATA CENTER"
"B70247020100","Building Commercial - Tenant Fit-Up","Finaled","","02/03/2017","01/23/2017","","10/27/2017","Permit","22811 INTERNATIONAL DR STERLING VA 20166","034462865000","FUTURE TENANT FIT UP/DATA CENTER"
"B70251370100","Building Commercial - Addition","Finaled","","03/15/2017","01/30/2017","","09/29/2017","Permit","44274 ROUND TABLE PLZ ASHBURN VA 20147","062462761000","SHELL ADDITION TO EXISTING DATA CENTER"
"B70253660100","Building Commercial - Alteration","Finaled","","02/23/2017","02/01/2017","","01/26/2018","Permit","22080 PACIFIC BLVD STERLING VA 20166","044261032000","RENOVATION TO DATA CENTER"
"B70253710100","Building Commercial - Tenant Fit-Up","Finaled","","02/09/2017","02/01/2017","","06/05/2017","Permit","43780 DIGITAL LOUDOUN PLZ ASHBURN VA 20147","089291706000","TENANT FIT UP TO DATA CENTER"
"B70262950100","Building Commercial - Alteration","Finaled","","03/21/2017","02/17/2017","","12/15/2017","Permit","44245 GIGABIT PLZ ASHBURN VA 20147","088407447000","PHASE I / DATA CENTER"
"B70267480100","Building Commercial - New Construction","Finaled","","06/28/2017","02/27/2017","","03/08/2018","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","BUILDING 2 / DATA CENTER"
"B70270010100","Building Commercial - Tenant Fit-Up","Finaled","KINCORA PROJECT","04/20/2017","03/01/2017","","08/28/2017","Permit","21350 PACIFIC BLVD STERLING VA 20166","042394385001","TENANT FIT UP / DATA CENTER"
"B70277170100","Building Commercial - Alteration","Finaled","","07/05/2017","03/13/2017","","12/15/2017","Permit","44245 GIGABIT PLZ ASHBURN VA 20147","088407447000","PHASE 1 INTER TFU / DATA CENTER"
"B70278910100","Building Commercial - New Construction","Finaled","","06/21/2017","03/16/2017","","04/19/2018","Permit","21744 SIR TIMOTHY DR ASHBURN VA 20147","061268762000","DATA CENTER"
"B70305410100","Building Commercial - Tenant Fit-Up","Cancelled","","","04/20/2017","","","Permit","22080 PACIFIC BLVD STERLING VA 20166","044261032000","TENANT FIT UP"
"B70306650100","Building Commercial - New Construction","Finaled","","08/29/2017","04/21/2017","","09/04/2019","Permit","22271 BRODERICK DR STERLING VA 20166","044152877000","DATA CENTER/SHELL & CORE WORK"
"B70314280100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / OFFICE IN DATA CENTER"
"B70314360100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 2 IN DATA CENTER"
"B70314370100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 3 IN DATA CENTER"
"B70314380100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 4 IN DATA CENTER"
"B70314390100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 5 IN DATA CENTER"
"B70314400100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 6 IN DATA CENTER"
"B70314410100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 7 IN DATA CENTER"
"B70314420100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 8 IN DATA CENTER"
"B70314430100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 9 IN DATA CENTER"
"B70314440100","Building Commercial - Tenant Fit-Up","Cancelled","","12/19/2017","05/02/2017","","","Permit","42948 FADELEY LN STERLING VA 20166","162392026000","TENANT FIT UP / PHASE 10 IN DATA CENTER"
