date,state_name,state_code,county_or_city_name,county_code,county_fips,aqi,aqi_category,defining_parameter,defining_site,number_of_sites_reporting,source_file_year,source_downloaded_on,source_url,source_dataset_url
1/1/2015,Virginia,51,Albemarle,3,51003,14,Good,PM2.5,51-003-0001,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Arlington,13,51013,35,Good,NO2,51-013-0020,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Charles,36,51036,8,Good,NO2,51-036-0002,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Fairfax,59,51059,45,Good,PM2.5,51-059-0030,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Frederick,69,51069,26,Good,PM2.5,51-069-0010,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Giles,71,51071,33,Good,Ozone,51-071-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Henrico,87,51087,31,Good,Ozone,51-087-0014,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Loudoun,107,51107,25,Good,NO2,51-107-1005,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Madison,113,51113,37,Good,Ozone,51-113-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Prince Edward,147,51147,34,Good,Ozone,51-147-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Prince William,153,51153,20,Good,NO2,51-153-0009,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Roanoke,161,51161,21,Good,PM2.5,51-161-1004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Rockingham,165,51165,20,Good,NO2,51-165-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Alexandria City,510,51510,33,Good,NO2,51-510-0021,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Hampton City,650,51650,24,Good,PM2.5,51-650-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Norfolk City,710,51710,17,Good,NO2,51-710-0024,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Richmond City,760,51760,35,Good,PM2.5,51-760-0025,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/1/2015,Virginia,51,Virginia Beach City,810,51810,51,Moderate,PM2.5,51-810-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Albemarle,3,51003,32,Good,PM2.5,51-003-0001,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Arlington,13,51013,37,Good,NO2,51-013-0020,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Charles,36,51036,6,Good,NO2,51-036-0002,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Fairfax,59,51059,49,Good,PM2.5,51-059-0030,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Frederick,69,51069,54,Moderate,PM2.5,51-069-0010,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Giles,71,51071,31,Good,Ozone,51-071-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Henrico,87,51087,47,Good,PM2.5,51-087-0014,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Loudoun,107,51107,29,Good,NO2,51-107-1005,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Madison,113,51113,34,Good,Ozone,51-113-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Prince Edward,147,51147,26,Good,Ozone,51-147-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Prince William,153,51153,18,Good,NO2,51-153-0009,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Roanoke,161,51161,39,Good,PM2.5,51-161-1004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Rockingham,165,51165,26,Good,NO2,51-165-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Alexandria City,510,51510,43,Good,NO2,51-510-0021,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Hampton City,650,51650,48,Good,PM2.5,51-650-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Norfolk City,710,51710,28,Good,NO2,51-710-0024,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Richmond City,760,51760,49,Good,PM2.5,51-760-0025,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/2/2015,Virginia,51,Virginia Beach City,810,51810,47,Good,PM2.5,51-810-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Albemarle,3,51003,44,Good,PM2.5,51-003-0001,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Arlington,13,51013,72,Moderate,PM2.5,51-013-0020,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Charles,36,51036,31,Good,PM2.5,51-036-0002,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Fairfax,59,51059,69,Moderate,PM2.5,51-059-0030,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Frederick,69,51069,65,Moderate,PM2.5,51-069-0010,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Giles,71,51071,28,Good,Ozone,51-071-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Henrico,87,51087,43,Good,PM2.5,51-087-0014,2,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Loudoun,107,51107,67,Moderate,PM2.5,51-107-1005,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Madison,113,51113,34,Good,Ozone,51-113-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Page,139,51139,55,Moderate,PM2.5,51-139-0004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Prince Edward,147,51147,17,Good,Ozone,51-147-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Prince William,153,51153,20,Good,NO2,51-153-0009,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Roanoke,161,51161,41,Good,PM2.5,51-161-1004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Rockbridge,163,51163,25,Good,PM2.5,51-163-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Rockingham,165,51165,54,Moderate,PM2.5,51-165-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Alexandria City,510,51510,34,Good,NO2,51-510-0021,2,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Hampton City,650,51650,26,Good,PM2.5,51-650-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Lynchburg City,680,51680,47,Good,PM2.5,51-680-0015,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Norfolk City,710,51710,33,Good,PM2.5,51-710-0024,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Richmond City,760,51760,52,Moderate,PM2.5,51-760-0025,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Salem City,775,51775,46,Good,PM2.5,51-775-0011,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/3/2015,Virginia,51,Virginia Beach City,810,51810,31,Good,PM2.5,51-810-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Albemarle,3,51003,7,Good,PM2.5,51-003-0001,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Arlington,13,51013,21,Good,NO2,51-013-0020,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Charles,36,51036,11,Good,NO2,51-036-0002,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Fairfax,59,51059,20,Good,PM2.5,51-059-0030,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Frederick,69,51069,16,Good,PM2.5,51-069-0010,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Giles,71,51071,27,Good,Ozone,51-071-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Henrico,87,51087,25,Good,Ozone,51-087-0014,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Loudoun,107,51107,11,Good,NO2,51-107-1005,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Madison,113,51113,12,Good,PM2.5,51-113-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Prince Edward,147,51147,27,Good,Ozone,51-147-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Prince William,153,51153,7,Good,NO2,51-153-0009,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Roanoke,161,51161,17,Good,PM2.5,51-161-1004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Rockingham,165,51165,3,Good,NO2,51-165-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Alexandria City,510,51510,19,Good,NO2,51-510-0021,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Hampton City,650,51650,22,Good,PM2.5,51-650-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Norfolk City,710,51710,5,Good,CO,51-710-0024,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Richmond City,760,51760,51,Moderate,PM2.5,51-760-0025,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/4/2015,Virginia,51,Virginia Beach City,810,51810,21,Good,PM2.5,51-810-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Albemarle,3,51003,22,Good,PM2.5,51-003-0001,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Arlington,13,51013,8,Good,NO2,51-013-0020,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Charles,36,51036,6,Good,NO2,51-036-0002,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Fairfax,59,51059,20,Good,PM2.5,51-059-0030,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Frederick,69,51069,27,Good,PM2.5,51-069-0010,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Giles,71,51071,30,Good,Ozone,51-071-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Henrico,87,51087,29,Good,Ozone,51-087-0014,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Loudoun,107,51107,4,Good,NO2,51-107-1005,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Madison,113,51113,35,Good,Ozone,51-113-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Prince Edward,147,51147,29,Good,Ozone,51-147-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Prince William,153,51153,5,Good,NO2,51-153-0009,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Roanoke,161,51161,25,Good,PM2.5,51-161-1004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Rockingham,165,51165,25,Good,NO2,51-165-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Alexandria City,510,51510,11,Good,NO2,51-510-0021,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Hampton City,650,51650,22,Good,PM2.5,51-650-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Norfolk City,710,51710,8,Good,NO2,51-710-0024,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Richmond City,760,51760,31,Good,PM2.5,51-760-0025,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/5/2015,Virginia,51,Virginia Beach City,810,51810,21,Good,PM2.5,51-810-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Albemarle,3,51003,25,Good,PM2.5,51-003-0001,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Arlington,13,51013,52,Moderate,PM2.5,51-013-0020,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Carroll,35,51035,6,Good,PM10,51-035-0001,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Charles,36,51036,22,Good,PM2.5,51-036-0002,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Fairfax,59,51059,46,Good,PM2.5,51-059-0030,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Frederick,69,51069,36,Good,PM2.5,51-069-0010,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Giles,71,51071,30,Good,Ozone,51-071-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Henrico,87,51087,28,Good,PM2.5,51-087-0015,2,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,King William,101,51101,5,Good,PM10,51-101-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Loudoun,107,51107,39,Good,PM2.5,51-107-1005,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Madison,113,51113,32,Good,Ozone,51-113-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Page,139,51139,32,Good,PM2.5,51-139-0004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Prince Edward,147,51147,29,Good,Ozone,51-147-9991,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Prince William,153,51153,22,Good,NO2,51-153-0009,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Roanoke,161,51161,29,Good,PM2.5,51-161-1004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Rockbridge,163,51163,23,Good,PM2.5,51-163-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Rockingham,165,51165,31,Good,PM2.5,51-165-0003,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Alexandria City,510,51510,37,Good,NO2,51-510-0021,2,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Fredericksburg City,630,51630,6,Good,PM10,51-630-0004,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
1/6/2015,Virginia,51,Hampton City,650,51650,18,Good,PM2.5,51-650-0008,1,2015,9/19/2026,https://aqs.epa.gov/aqsweb/airdata/daily_aqi_by_county_2015.zip,https://aqs.epa.gov/aqsweb/airdata/download_files.html
