Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
NRO,70014,Superior Paving - Manassas Plant,Synthetic Minor,153,Prince William County,2951,324121,14.03,0.00,2.85,0.37,3.44,0.42,0.00,21.10
NRO,70021,Inova Fairfax Hospital,Synthetic Minor,059,Fairfax County,8062,622110,32.39,0.00,9.06,0.64,0.90,2.18,0.00,45.16
NRO,70030,Pentagon Reservation,Synthetic Minor,013,Arlington County,9711,928110,14.34,0.00,17.66,3.88,1.12,2.52,0.00,39.53
NRO,70087,Kinder Morgan Newington Terminal #1,Major/Potential Major,059,Fairfax County,4226,493190,18.26,0.00,4.01,0.00,64.53,0.00,0.00,86.80
NRO,70106,Holtzman Oil Corp,True Minor,107,Loudoun County,5171,424710,0.00,0.00,0.00,0.00,10.84,0.00,0.00,10.84
NRO,70143,Luck Stone - Leesburg Plant,True Minor,107,Loudoun County,1422,212312,0.00,0.00,0.00,0.00,0.00,10.22,0.00,10.22
NRO,70220,"Buckeye Terminals, LLC - Fairfax Terminal",Major/Potential Major,600,Fairfax City,5171,424710,0.00,0.00,0.00,0.00,15.15,0.00,0.00,15.15
NRO,70224,CITGO Terminal,Major/Potential Major,600,Fairfax City,5171,424710,3.99,0.00,1.59,0.00,29.80,0.00,0.00,35.37
NRO,70225,Dominion - Possum Point Power Station,Major/Potential Major,153,Prince William County,4911,221112,116.57,0.00,767.02,1750.53,10.15,64.81,45.73,2754.81
NRO,70226,Virginia Hospital Center - Arlington,Synthetic Minor,013,Arlington County,8062,622110,6.51,0.00,11.95,0.04,0.49,0.65,0.00,19.64
NRO,70234,Kinder Morgan Southeast Terminals LLC-Newington 2,Major/Potential Major,059,Fairfax County,5171,424710,0.00,0.00,0.00,0.00,53.60,0.00,0.00,53.60
NRO,70235,Sunoco Partners Marketing & Terminals LP Manassas,Major/Potential Major,153,Prince William County,5171,424710,0.07,0.00,0.03,0.00,45.03,0.00,0.00,45.13
NRO,70244,Glen Gery Corporation - Capitol Plant,Major/Potential Major,683,Manassas City,3251,327120,10.02,0.00,3.68,0.66,0.16,4.78,0.96,20.25
NRO,70248,Motiva Enterprises LLC,Major/Potential Major,600,Fairfax City,5171,424710,0.00,0.00,0.00,0.00,35.70,0.00,0.00,35.70
NRO,70267,US Marine Corps - Quantico,Major/Potential Major,153,Prince William County,9711,928110,12.46,0.00,33.36,9.55,8.00,1.97,1.68,67.02
NRO,70306,TransMontaigne Product Services Inc - Fairfax,Major/Potential Major,600,Fairfax City,5171,424710,3.21,0.00,1.29,0.00,39.59,0.00,0.00,44.09
NRO,70550,US Army - Fort Belvoir,Major/Potential Major,059,Fairfax County,9711,928110,17.20,0.00,30.55,0.23,1.91,1.58,0.93,52.40
NRO,70579,Virginia Paving Company Alexandria Plant,Synthetic Minor,510,Alexandria City,2951,324121,17.50,0.00,5.36,0.72,6.32,7.65,7.59,45.15
NRO,70691,George Mason University - Fairfax Campus,Synthetic Minor,059,Fairfax County,8221,611310,12.68,0.00,15.85,0.37,1.02,1.36,0.00,31.28
NRO,70714,Noman M Cole Jr Pollution Control Plant,Major/Potential Major,059,Fairfax County,4952,221320,250.04,0.00,44.48,1.84,1.53,6.28,6.15,310.33
NRO,71734,Aircraft Services International Inc.,Synthetic Minor,107,Loudoun County,5172,424720,0.00,0.00,0.00,0.00,12.94,0.00,0.00,12.94
NRO,71751,H L Mooney Water Reclamation Facility,Synthetic Minor,153,Prince William County,4952,221320,5.55,0.00,14.36,0.64,4.03,0.08,0.00,24.65
NRO,71757,Bush Center for Intelligence (CIA),Synthetic Minor,059,Fairfax County,9711,928110,13.94,0.00,14.89,1.86,1.11,1.34,0.66,33.80
NRO,71770,Upper Occoquan Service Authority,Synthetic Minor,059,Fairfax County,4952,221320,33.65,0.00,29.48,1.31,11.12,14.47,0.00,90.04
NRO,71775,Superior Paving Corp - Centreville Plt,Synthetic Minor,059,Fairfax County,2951,324121,31.15,0.00,6.23,0.81,7.67,5.51,0.00,51.37
NRO,71804,Science Applications International Corp.,True Minor,059,Fairfax County,7374,518210,0.31,0.00,18.98,0.16,0.03,0.03,0.00,19.51
NRO,71871,QG Printing II Corp.,Synthetic Minor,153,Prince William County,2752,323111,0.25,0.00,0.30,0.00,16.88,0.02,0.00,17.46
NRO,71895,"Covanta Alexandria/Arlington, Inc.",Major/Potential Major,510,Alexandria City,4953,562213,56.80,0.00,470.11,3.75,1.25,1.02,10.06,543.00
NRO,71920,"Covanta Fairfax, Inc.",Major/Potential Major,059,Fairfax County,4953,562213,21.11,0.00,1647.88,121.62,6.06,14.06,0.13,1810.85
NRO,71924,Virginia Paving Company - Sterling,Synthetic Minor,107,Loudoun County,2951,324121,25.33,0.00,5.07,0.66,6.24,4.48,0.00,41.78
NRO,71926,Branscome Paving Company,Synthetic Minor,153,Prince William County,2951,324121,23.51,0.00,9.99,10.49,12.30,4.26,0.00,60.54
NRO,71958,Transcontinental Gas Pipeline-Station 185,Major/Potential Major,153,Prince William County,4922,486210,1.32,0.00,22.31,0.13,2.18,0.54,0.54,27.02
NRO,71961,Michigan Cogeneration Systems Inc,Major/Potential Major,059,Fairfax County,4911,221112,123.40,0.00,62.20,3.07,7.56,8.96,8.96,214.15
NRO,71977,City of Manassas/VMEA,Major/Potential Major,683,Manassas City,4911,221112,2.63,0.00,12.15,2.01,0.37,0.26,0.26,17.68
NRO,71978,Dominion - Leesburg Compressor Station,Major/Potential Major,107,Loudoun County,4922,486210,16.91,0.00,35.17,0.02,10.70,1.26,1.26,65.32
NRO,72265,Loudoun Compressor Station,Major/Potential Major,107,Loudoun County,4922,486210,20.95,0.00,15.80,0.07,6.32,0.47,0.47,44.08
NRO,72299,Micron Technology Incorporated,Synthetic Minor,683,Manassas City,3674,334413,15.47,0.00,9.77,1.06,42.62,10.44,10.44,89.80
NRO,72340,Prince William County Sanitary Landfill,Major/Potential Major,153,Prince William County,4953,562212,240.73,0.00,53.10,39.58,12.14,17.06,17.06,379.67
NRO,72348,"Loudoun County Dept. of General Services, DSW",Synthetic Minor,107,Loudoun County,4953,562212,50.58,0.00,2.70,1.02,2.25,1.15,0.00,57.70
NRO,72361,"Loudoun Co Asphalt Co., LLC",Synthetic Minor,107,Loudoun County,2951,324121,16.47,0.00,3.29,0.43,4.05,2.91,0.00,27.16
NRO,72367,MCI-Verizon,Synthetic Minor,107,Loudoun County,4813,517110,2.71,0.00,14.87,0.02,0.34,0.39,0.39,18.72
NRO,73233,Equinix LLC,Synthetic Minor,107,Loudoun County,7376,541513,1.74,0.00,13.62,0.02,0.48,0.16,0.00,16.03
NRO,73333,Liberty Crossing 1,Synthetic Minor,059,Fairfax County,9199,921190,1.25,0.00,11.92,1.43,0.17,0.14,0.00,14.91
NRO,73370,DuPont Fabros Tech - Ashburn Campus,Major/Potential Major,107,Loudoun County,7374,518210,3.77,0.00,25.44,0.17,1.27,0.46,0.65,31.76
NRO,73630,Fort Belvoir - North Area,Synthetic Minor,059,Fairfax County,9711,928110,3.60,0.00,14.97,0.32,0.82,0.54,0.00,20.24
NRO,73631,Liberty Crossing 2,True Minor,059,Fairfax County,9199,921190,1.06,0.00,10.14,0.00,0.29,0.16,0.15,11.80
NRO,73670,Digital Loudoun II Limitied Liability Corporation,Major/Potential Major,107,Loudoun County,7376,541513,2.93,0.00,24.43,0.62,1.56,0.20,0.20,29.95
NRO,73675,Interior Building Systems Corporation,Synthetic Minor,153,Prince William County,2431,321911,0.00,0.00,0.00,0.00,12.48,0.00,0.00,12.48
NRO,73743,Latisys Ashburn,Synthetic Minor,107,Loudoun County,4813,517110,1.50,0.00,14.37,0.01,0.42,0.21,0.00,16.51
NRO,73776,Navy Federal Credit Union - Follin Lane,Synthetic Minor,059,Fairfax County,6061,522130,8.25,0.00,17.26,0.59,0.83,0.55,0.00,27.48
NRO,73810,Battlefield Farms Incorporated,Synthetic Minor,047,Culpeper County,0181,111422,15.36,0.00,28.47,0.81,0.50,1.00,0.98,47.13
NRO,73814,Remington Mulch - Elkwood,Synthetic Minor,047,Culpeper County,0782,561730,1.76,0.00,13.80,0.12,1.80,1.29,0.34,19.11
NRO,74011,Eastern Clearing Incorporated,Synthetic Minor,061,Fauquier County,1611,237310,5.10,0.00,22.48,0.01,0.80,4.18,0.00,32.58
NRO,74022,Remington Mulch - Gainesville,Synthetic Minor,153,Prince William County,2875,325314,7.30,0.00,20.71,0.00,10.23,1.34,1.34,40.92
PRO,30872,Redland Brick Incorporated - Lawrenceville Plant,Synthetic Minor,025,Brunswick County,3251,327120,10.65,0.00,9.35,3.55,1.13,4.83,4.83,34.33
PRO,30993,Maplewood Recycling and Waste Disposal,Major/Potential Major,007,Amelia County,4953,562219,6.42,0.00,1.69,0.59,12.29,5.30,4.60,30.89
PRO,30995,Virginia-Carolina Forest Products Inc,Synthetic Minor,025,Brunswick County,2421,321999,11.51,0.00,2.90,1.05,7.67,24.22,10.33,57.68
PRO,31007,Brunswick Waste Mgmt Facility LLC,Major/Potential Major,025,Brunswick County,4953,562212,13.82,0.00,3.81,1.60,12.01,0.90,0.90,33.05
PRO,31047,INGENCO - Amelia,Major/Potential Major,007,Amelia County,4931,221112,154.35,0.00,138.79,2.07,40.91,20.44,20.44,377.00
PRO,40002,Tidewater Lumber,True Minor,057,Essex County,2421,321113,0.00,0.00,0.00,0.00,0.00,49.84,49.84,99.68
PRO,40022,Ball Lumber Company Incorporated,Synthetic Minor,097,King and Queen County,2421,321113,32.01,0.00,11.74,1.33,62.26,27.18,13.67,148.18
PRO,40090,Coldwater Veneer Incorporated,Synthetic Minor,101,King William County,2436,321212,7.77,0.00,4.22,0.21,50.00,8.11,8.11,78.42
PRO,40126,WestRock CP LLC - West Point,Major/Potential Major,101,King William County,2631,322130,1389.95,0.00,1358.11,541.37,502.99,424.01,393.37,4609.81
PRO,40278,Omega Protein Inc,Synthetic Minor,133,Northumberland County,2077,311710,14.22,0.00,25.05,0.50,1.51,4.15,1.13,46.57
PRO,40371,Potomac Supply Limited Liability Company,Major/Potential Major,193,Westmoreland County,2421,321113,36.56,0.00,29.87,1.52,53.90,6.33,6.33,134.50
PRO,40418,Perdue AgriBusiness LLC - Tappahannock/Essex,True Minor,057,Essex County,5153,424510,0.11,0.00,0.79,0.00,0.03,16.19,15.59,32.71
PRO,40470,Perdue Farms Inc-Kinsale,True Minor,193,Westmoreland County,5153,424510,0.00,0.00,0.00,0.00,0.00,11.89,11.91,23.80
PRO,40529,"Waller, R P Oil BP",True Minor,133,Northumberland County,5171,424710,0.00,0.00,0.00,0.00,10.29,0.00,0.00,10.29
PRO,40542,Old Dominion Grain,Synthetic Minor,101,King William County,4221,493130,0.51,0.00,0.65,0.00,0.00,12.91,2.23,16.30
PRO,40707,Bennett Mineral Company Inc,Synthetic Minor,097,King and Queen County,3295,327992,54.45,0.00,3.14,1.24,1.49,1.14,1.05,62.50
PRO,40823,Augusta Wood Products LC - Sawmill,True Minor,101,King William County,2421,321912,1.24,0.00,0.17,0.03,16.81,4.14,4.14,26.54
PRO,40896,NPPC King William,Synthetic Minor,101,King William County,1459,212325,18.79,0.00,44.96,0.22,1.01,24.91,24.91,114.79
PRO,40911,Canon Environmental Technologies Incorporated,Synthetic Minor,073,Gloucester County,3999,339999,0.00,0.00,0.00,0.00,0.00,27.33,27.33,54.66
PRO,40920,Middle Peninsula Landfill,Major/Potential Major,073,Gloucester County,4953,562212,229.46,0.00,122.26,5.64,18.24,19.89,19.17,414.66
PRO,40937,King and Queen Sanitary Landfill,Major/Potential Major,097,King and Queen County,4953,562212,37.98,0.00,11.26,10.91,17.59,6.80,3.76,88.30
PRO,40956,West Point Chips Incorporated,True Minor,101,King William County,2421,321113,0.00,0.00,0.00,0.00,0.00,34.66,34.66,69.32
PRO,50012,US Federal Correctional Complex-Petersburg,Synthetic Minor,149,Prince George County,9223,922140,12.74,0.00,17.22,0.17,4.39,3.85,3.85,42.21
PRO,50046,Branscome Richmond - Deepwater Terminal Rd,Synthetic Minor,760,Richmond City,2951,324121,50.35,0.00,15.10,11.08,4.53,3.40,3.40,87.85
PRO,50060,Lee Hy Paving Company,Synthetic Minor,075,Goochland County,2951,324121,28.84,0.00,12.20,12.87,7.10,5.26,5.10,71.37
PRO,50076,Philip Morris USA Manufacturing Center,Major/Potential Major,760,Richmond City,2111,312230,34.56,0.00,98.12,0.33,149.79,8.86,8.85,300.50
PRO,50085,Packaging Corporation of America,Synthetic Minor,760,Richmond City,2653,322211,2.59,0.00,2.37,0.08,10.04,0.25,0.25,15.58
PRO,50099,"Aleris Rolled Products, Inc.",Synthetic Minor,041,Chesterfield County,3341,331314,8.35,0.00,10.24,0.06,9.07,6.21,6.21,40.15
PRO,50101,Chemtrade Solutions LLC - Hopewell,Synthetic Minor,670,Hopewell City,2819,325180,0.00,0.00,0.00,12.17,0.00,22.13,22.13,56.42
PRO,50105,Flippo Lumber Corp,Synthetic Minor,085,Hanover County,2421,321912,28.63,0.00,28.63,1.43,55.72,40.85,32.85,188.12
PRO,50113,J E Jones Lumber Co,Synthetic Minor,085,Hanover County,2421,321912,0.03,0.00,0.10,0.36,1.18,10.52,10.52,22.71
PRO,50121,Magellan Terminals Holdings LP - Richmond Terminal,Synthetic Minor,760,Richmond City,4226,493190,3.13,0.00,1.25,0.00,12.98,0.00,0.00,17.35
PRO,50125,Davis Oil Company,True Minor,183,Sussex County,5171,424710,0.00,0.00,0.00,0.00,25.17,0.00,0.00,25.17
PRO,50126,VCU - Steam Plant,Major/Potential Major,760,Richmond City,8062,622110,31.16,0.00,19.80,0.23,4.39,2.51,2.51,60.60
PRO,50127,Defense Supply Center Richmond,Synthetic Minor,041,Chesterfield County,9711,928110,5.46,0.00,17.86,0.15,0.91,0.69,0.64,25.71
PRO,50137,Ashland Roller Mills,True Minor,085,Hanover County,2041,311211,0.00,0.00,0.00,0.00,0.00,57.75,57.75,115.50
PRO,50143,Carter Printing,Synthetic Minor,760,Richmond City,2732,323117,0.02,0.00,0.08,0.25,10.40,0.01,0.01,10.77
PRO,50144,Parker Oil Co - Emporia,True Minor,081,Greensville County,5171,424710,0.00,0.00,0.00,0.00,10.52,0.00,0.00,10.52
PRO,50168,Transmontaigne Operating Co LP - Richmond Atlantic,Synthetic Minor,760,Richmond City,4226,493190,0.00,0.00,0.00,0.00,19.97,0.00,0.00,19.97
PRO,50209,University of Richmond,Synthetic Minor,760,Richmond City,8221,611310,15.32,0.00,15.20,0.07,0.62,0.79,0.49,32.49
PRO,50217,US Silica Company Montpelier Operation,Synthetic Minor,085,Hanover County,1459,212325,0.67,0.00,2.68,3.42,0.03,37.93,10.88,55.61
PRO,50218,Sadler Brothers Oil Company,True Minor,081,Greensville County,5171,424710,0.00,0.00,0.00,0.00,39.98,0.00,0.00,39.98
PRO,50232,Honeywell Resins and Chemicals LLC -Hopewell,Major/Potential Major,670,Hopewell City,2869,325199,180.40,0.00,4877.94,154.07,343.50,181.87,117.00,5854.79
PRO,50233,AdvanSix Resins and Chemicals LLC - Chesterfield,Synthetic Minor,041,Chesterfield County,2821,325211,38.38,0.00,46.80,0.76,20.14,6.63,6.21,118.92
PRO,50249,Kaiser Aluminum Fabricated Products LLC,Major/Potential Major,041,Chesterfield County,3354,331318,2.08,0.00,2.56,0.02,175.42,0.13,0.13,180.33
PRO,50257,Aqua Clean Environmental of Virginia,Synthetic Minor,760,Richmond City,4953,562920,0.00,0.00,0.00,0.00,30.30,1.10,0.33,31.73
PRO,50258,Kinder Morgan Southeast Terminals-Rchmd Terminal,Major/Potential Major,760,Richmond City,5171,424710,0.00,0.00,0.00,0.00,85.71,0.00,0.00,85.71
PRO,50260,Reynolds Consumer Products LLC - Bellwood Printing,Major/Potential Major,041,Chesterfield County,2754,323111,2.29,0.00,2.73,0.02,110.25,0.21,0.21,115.70
PRO,50278,Buckeye Terminals LLC - Richmond,Synthetic Minor,760,Richmond City,5171,424710,0.00,0.00,0.00,0.00,22.56,0.00,0.00,22.56
PRO,50283,Georgia Pacific Wood Products - Emporia - Plywood,Major/Potential Major,081,Greensville County,2436,321212,975.20,0.00,215.48,26.43,69.21,149.07,146.41,1581.80
PRO,50284,Motiva Enterprises LLC-Richmond Terminal,Synthetic Minor,760,Richmond City,5171,424710,10.66,0.00,4.25,0.00,31.66,0.00,0.00,46.57
PRO,50292,Amsted Rail Company Incorporated,Synthetic Minor,730,Petersburg City,3562,332991,13.02,0.00,15.50,0.09,31.45,1.18,0.89,62.12
PRO,50336,Dominion - Gravel Neck CT Station,Major/Potential Major,181,Surry County,4911,221113,4.68,0.00,112.16,14.19,1.72,1.47,1.33,135.54
PRO,50356,Sonoco Products Co,Synthetic Minor,760,Richmond City,2675,322299,18.75,0.00,19.78,1.97,57.74,1.57,1.57,101.38
PRO,50358,Cadmus Specialty Publications,Synthetic Minor,087,Henrico County,2752,323111,1.78,0.00,3.61,0.01,25.04,0.16,0.16,30.77
PRO,50363,Hercules Inc Aqualon Div,Major/Potential Major,670,Hopewell City,2869,325199,0.00,0.00,0.00,0.00,592.80,10.93,10.93,614.66
PRO,50370,WestRock CP LLC - Hopewell,Major/Potential Major,670,Hopewell City,2631,322130,771.45,0.00,1080.90,337.42,174.36,296.37,216.13,2876.62
PRO,50396,Dominion - Chesterfield Power Station,Major/Potential Major,041,Chesterfield County,4911,221112,687.71,0.00,3174.27,2546.83,96.11,992.72,259.77,7757.40
PRO,50397,E I du Pont de Nemours and Co-Spruance Plt,Major/Potential Major,041,Chesterfield County,2824,325220,6.00,0.00,9.02,0.44,267.88,26.47,26.47,336.27
PRO,50412,Bon Secours St Marys Hospital,Synthetic Minor,087,Henrico County,8062,622110,6.39,0.00,10.36,1.18,0.48,0.65,0.65,19.71
PRO,50418,DuPont Teijin Films,Major/Potential Major,041,Chesterfield County,2821,325211,18.84,0.00,24.33,4.69,106.43,14.00,13.90,182.18
PRO,50426,Univar USA Incorporated - Chester,Synthetic Minor,041,Chesterfield County,5169,424690,0.09,0.00,0.35,0.00,32.70,0.02,0.02,33.18
PRO,50429,Luck Stone Corp Boscobel Plant,Synthetic Minor,075,Goochland County,1423,212313,0.00,0.00,0.00,0.00,0.00,65.46,65.46,130.92
PRO,50533,Kinder Morgan Southeast Terminals LLC,Synthetic Minor,760,Richmond City,5171,424710,1.67,0.00,1.99,0.01,13.52,0.04,0.04,17.27
PRO,50552,UPACO Adhesives Division of Worthern Industries,True Minor,760,Richmond City,2891,325520,0.25,0.00,0.30,0.00,15.20,0.02,0.02,15.79
PRO,50554,Chemours James River Plant,Major/Potential Major,041,Chesterfield County,2819,325180,0.02,0.00,5.29,51.60,0.00,7.35,0.01,64.25
PRO,50555,Ennis Paint,Synthetic Minor,087,Henrico County,2851,325510,0.08,0.00,0.09,0.00,16.67,10.65,0.00,27.49
PRO,50564,US Army Garrison and Fort Lee,Synthetic Minor,149,Prince George County,9711,928110,16.61,0.00,14.88,0.25,4.51,1.64,1.63,39.52
PRO,50585,Seward Lumber Co Inc,True Minor,181,Surry County,2421,321912,0.00,0.00,0.00,0.00,0.00,12.62,12.62,25.24
PRO,50703,Mondelez Global LLC - Richmond Bakery,Synthetic Minor,087,Henrico County,2052,311919,11.96,0.00,14.32,0.09,10.24,1.44,1.44,39.48
PRO,50722,Philip Morris USA Inc - Park 500,Major/Potential Major,041,Chesterfield County,2141,312230,37.31,0.00,108.25,0.37,209.03,11.69,11.68,378.33
PRO,50735,Hopewell Water Renewal,Major/Potential Major,670,Hopewell City,4952,221320,18.83,0.00,14.61,4.42,14.45,1.08,0.90,54.29
PRO,50752,Shoosmith Brothers Inc,Major/Potential Major,041,Chesterfield County,4953,562212,26.72,0.00,9.10,20.06,51.27,2.23,2.23,111.62
PRO,50833,Roslyn Converters Inc,Synthetic Minor,570,Colonial Heights City,2754,323111,0.32,0.00,1.60,0.01,41.63,0.88,0.05,44.48
PRO,50838,IR Engraving LLC,True Minor,087,Henrico County,3554,333243,1.18,0.00,1.41,0.01,15.03,0.11,0.06,17.78
PRO,50840,Bear Island Paper WB LLC,Major/Potential Major,085,Hanover County,2621,322122,207.68,0.00,185.09,224.42,501.62,64.24,64.24,1247.29
PRO,50862,Allan Myers Materials,Synthetic Minor,075,Goochland County,2951,324121,26.79,0.00,6.48,15.08,9.02,8.77,0.00,66.14
PRO,50891,Evonik Corporation,Synthetic Minor,670,Hopewell City,2819,325180,2.67,0.00,3.18,0.02,24.05,0.27,0.27,30.45
PRO,50950,James River Genco LLC,Major/Potential Major,670,Hopewell City,4911,221112,652.92,0.00,941.14,1709.50,3.45,38.75,18.98,3364.74
PRO,50967,Hopewell Cogeneration Ltd Partnership,Major/Potential Major,670,Hopewell City,4911,221112,80.05,0.00,758.87,52.13,6.91,16.53,11.65,926.14
PRO,50980,Murphy Brown Waverly Division Feedmill,Synthetic Minor,183,Sussex County,2048,311119,2.64,0.00,3.17,0.15,0.16,15.92,4.12,26.16
PRO,50984,Maruchan Virginia Inc,Synthetic Minor,041,Chesterfield County,2099,311824,4.87,0.00,5.80,0.03,0.32,11.20,11.20,33.43
PRO,50988,Dominion - Bellemeade Power Station,Major/Potential Major,760,Richmond City,4911,221112,156.07,0.00,156.01,23.51,5.93,2.88,2.88,347.27
PRO,50997,Dominion - Darbytown CT Station,Major/Potential Major,087,Henrico County,4911,221112,0.64,0.00,97.20,21.30,1.64,6.16,6.14,133.09
PRO,51001,DOC Greensville,Synthetic Minor,081,Greensville County,9223,922140,3.17,0.00,10.97,1.73,15.17,0.84,0.78,32.65
PRO,51002,Columbia Gas Transmission Corp-Goochland,Major/Potential Major,075,Goochland County,4922,486210,25.09,0.00,17.28,0.06,4.39,0.55,0.48,47.85
PRO,51009,Columbia Gas Transmission Corp-Prince Georg,Major/Potential Major,149,Prince George County,4922,486210,10.58,0.00,69.37,0.02,5.28,1.16,1.16,87.58
PRO,51018,Doswell Limited Partnership,Major/Potential Major,085,Hanover County,4911,221112,496.52,0.00,722.35,14.51,78.21,523.52,523.13,2358.25
PRO,51019,Dominion - Hopewell Power Station,Major/Potential Major,670,Hopewell City,4911,221112,455.37,0.00,202.05,12.30,5.22,17.60,16.43,708.95
PRO,51033,Spruance Genco LLC,Major/Potential Major,760,Richmond City,4911,221112,230.90,0.00,1450.67,407.82,1.32,29.87,29.85,2150.42
PRO,51034,Kinder Morgan  Transmix Company LLC,Synthetic Minor,760,Richmond City,5171,424710,4.67,0.00,4.80,0.03,13.46,0.34,0.34,23.63
PRO,51069,"BFI Waste Systems of North America, LLC - Charles City Rd Landfill",Synthetic Minor,087,Henrico County,4911,221112,19.85,0.00,3.65,0.85,0.11,0.90,0.90,26.26
PRO,51075,Afton Chemical Corporation,Synthetic Minor,760,Richmond City,8734,541380,35.07,0.00,51.87,5.60,51.59,2.53,2.53,149.19
PRO,51147,Henrico County Water Reclamation Facility,Synthetic Minor,087,Henrico County,9631,926130,14.92,0.00,6.24,1.51,4.82,0.32,0.31,28.11
PRO,51226,"SteelFab of Virginia, Inc.",True Minor,081,Greensville County,3441,332312,0.00,0.00,0.00,0.00,16.76,8.82,8.82,34.41
PRO,51227,BFI Old Dominion Landfill,Major/Potential Major,087,Henrico County,4953,562212,46.90,0.00,8.73,2.12,14.29,5.82,2.79,80.65
PRO,51264,Chaparral Virginia Incorporated,Major/Potential Major,053,Dinwiddie County,3312,331110,1957.47,0.00,250.36,17.42,49.27,24.54,23.81,2322.87
PRO,51278,Atlantic Waste Disposal Inc - Waverly,Major/Potential Major,183,Sussex County,4953,562212,23.45,0.00,14.90,1.77,36.12,39.19,26.84,142.27
PRO,51282,Sun Chemical Corporation - Richmond Facility,Synthetic Minor,570,Colonial Heights City,2893,325910,0.00,0.00,0.00,0.00,81.09,0.17,0.17,81.43
PRO,51919,Essentra Packaging Incorporated,Synthetic Minor,041,Chesterfield County,2754,323111,0.00,0.00,0.00,0.00,24.30,0.00,0.00,24.30
PRO,51924,DuPont Teijin Films,Major/Potential Major,041,Chesterfield County,2671,326112,0.00,0.00,0.00,0.00,56.50,0.00,0.00,56.50
PRO,51970,Showbest Fixture Corporation,Synthetic Minor,087,Henrico County,2541,337215,0.00,0.00,0.00,0.00,12.49,0.10,0.00,12.59
PRO,51988,Carry On Trailer Corp,Synthetic Minor,133,Northumberland County,3799,336214,0.00,0.00,0.07,0.00,21.29,0.00,0.00,21.36
PRO,51998,INGENCO - Charles City,Major/Potential Major,036,Charles City County,4931,221112,204.01,0.00,174.37,4.99,38.12,12.71,12.71,446.91
PRO,52037,INGENCO - Chester Plant,Major/Potential Major,041,Chesterfield County,4931,221112,171.16,0.00,155.90,53.43,51.43,25.91,25.91,483.73
PRO,52063,Carry On Trailer Corporation,Synthetic Minor,193,Westmoreland County,3715,336212,0.00,0.00,0.00,0.00,34.28,1.47,0.00,35.75
PRO,52078,Windsor Surry Company,Synthetic Minor,181,Surry County,2493,321219,0.26,0.00,0.44,0.00,47.25,0.42,0.39,48.77
PRO,52080,Dominion Packaging Incorporated,Synthetic Minor,760,Richmond City,2754,323111,2.13,0.00,2.54,0.02,13.93,0.19,0.19,19.00
PRO,52108,Lee Hy Paving Corporation - New Kent Plant 2,Synthetic Minor,127,New Kent County,2951,324121,12.50,0.00,5.29,5.70,3.08,0.66,0.15,27.39
PRO,52118,Southern Graphic Systems Inc,Synthetic Minor,087,Henrico County,2796,323120,0.00,0.00,0.00,0.00,12.92,0.00,0.00,12.92
PRO,52131,"O'Malley Timber Products, Inc.",True Minor,057,Essex County,0811,113110,26.39,0.00,9.68,1.10,26.05,15.77,7.48,86.47
PRO,52148,INGENCO - King and Queen,Major/Potential Major,097,King and Queen County,4931,221112,210.09,0.00,175.85,38.87,62.68,15.66,15.66,518.82
PRO,52154,INGENCO - Brunswick Plant,Major/Potential Major,025,Brunswick County,4931,221112,217.50,0.00,182.62,2.22,61.67,18.51,18.51,501.03
PRO,52161,Lee Hy Paving Corporation - Chester,True Minor,041,Chesterfield County,2951,324121,23.33,0.00,4.83,3.23,0.48,0.26,0.02,32.15
PRO,52198,Richmond Energy LLC,Major/Potential Major,087,Henrico County,4931,221112,240.70,0.00,34.00,3.60,6.70,5.40,5.40,295.80
PRO,52205,Colony Construction Asphalt LLC,Synthetic Minor,145,Powhatan County,2951,324121,16.43,0.00,4.61,17.83,5.96,0.81,0.00,45.63
PRO,52211,Green Plains Hopewell Limited Liability Company,Synthetic Minor,670,Hopewell City,2869,325193,40.68,0.00,52.32,1.88,44.38,40.78,40.47,220.51
PRO,52281,Capital One Services Incorporated,Synthetic Minor,087,Henrico County,6021,522210,4.26,0.00,10.15,0.08,0.64,0.29,0.00,15.42
PRO,52285,ColorTree Group,Synthetic Minor,087,Henrico County,2677,322230,0.00,0.00,0.00,0.00,20.13,0.00,0.00,20.13
PRO,52297,Hanover Foils LLC,Synthetic Minor,085,Hanover County,2754,323111,0.00,0.00,0.00,0.00,30.74,0.00,0.00,30.74
PRO,52303,INGENCO Wholesale Power LLC - Henrico,Synthetic Minor,087,Henrico County,4931,221112,53.00,0.00,46.80,0.90,31.00,31.00,31.00,193.70
PRO,52322,Powerhouse Equipment and Enginrng - Portable 52322,Synthetic Minor,101,King William County,5074,423720,4.00,0.00,16.00,5.68,0.00,0.80,0.00,26.48
PRO,52359,Allan Myers VA Inc dba Allan Myers Mtls - Powhatan,Synthetic Minor,145,Powhatan County,2951,324121,14.19,0.00,6.23,14.36,3.98,0.86,0.02,39.65
PRO,52368,Wood Fuel Developers - West Main St,Synthetic Minor,183,Sussex County,2499,321999,37.21,0.00,31.80,0.03,44.07,32.59,32.59,178.30
