Region,Reg #,Facility Name,Classification,FIPS,County,SIC,NAICS,CO Emissions in Tons,NH3 Emissions in Tons,NO2 Emissions in Tons,PM 10 Emissions in Tons,PM 2.5 Emissions in Tons,SO2 Emissions in Tons,VOC Emissions in Tons,Facility Total
BRRO,21504,RTI Martinsville Inc,Synthetic Minor,089,Henry County,3356,331491,7.79,0.00,38.76,0.06,1.25,2.42,2.42,52.68
BRRO,21508,JTI Leaf Services (US) LLC,Synthetic Minor,590,Danville City,2141,312230,1.52,0.00,1.81,0.01,30.00,12.74,10.49,56.58
BRRO,21512,Martinsville City Landfill,True Minor,089,Henry County,4953,562212,14.64,0.00,2.93,0.29,0.98,0.74,0.74,20.31
BRRO,21526,NOVEC Energy Production Halifax County Biomass,Major/Potential Major,083,Halifax County,4911,221117,168.91,0.00,133.51,0.54,27.77,47.22,0.00,377.95
BRRO,21527,Microsoft Corporation - East Coast Data Center,Major/Potential Major,117,Mecklenburg County,7374,518210,9.18,0.00,23.89,0.40,1.51,1.58,1.58,38.13
BRRO,21534,Franklin County - Sanitary Landfill,True Minor,067,Franklin County,4953,562212,2.12,0.00,0.00,0.00,8.35,11.40,1.14,23.01
BRRO,21548,INGENCO - New River,Major/Potential Major,155,Pulaski County,4931,221117,70.60,0.00,59.50,0.65,8.32,7.40,7.40,153.86
BRRO,21553,Colony Construction Asphalt LLC,Synthetic Minor,135,Nottoway County,2951,324121,7.78,0.00,3.29,11.80,1.92,3.39,0.00,28.18
BRRO,30072,Sam Moore Furniture LLC,Synthetic Minor,019,Bedford County,2512,337121,3.30,0.00,3.12,0.89,18.59,5.74,5.35,36.99
BRRO,30103,Magellan Terminal Holdings LP Montvale,Synthetic Minor,019,Bedford County,5171,424710,6.26,0.00,2.50,0.00,20.43,0.00,0.00,29.19
BRRO,30105,Davis Frost Inc,Synthetic Minor,680,Lynchburg City,2851,325510,0.00,0.00,0.00,0.00,16.70,13.80,0.00,30.50
BRRO,30106,Goodyear Tire and Rubber Company Danville,Major/Potential Major,590,Danville City,3011,326211,55.08,0.00,178.34,14.40,435.89,40.34,7.70,731.75
BRRO,30120,Columbia Forest Products,Synthetic Minor,143,Pittsylvania County,2435,321211,15.60,0.00,12.74,0.12,5.41,6.01,5.95,45.84
BRRO,30124,LSC Communications Inc,Major/Potential Major,680,Lynchburg City,2754,323111,9.29,0.00,11.26,1.93,14.51,0.85,0.84,38.66
