site_name,registration_number,issuance_date,program_type,city_or_county,regional_office,permit_url,address,main_parcel,generator_count,generator_capacity_mw,fuel,operating_limits,pollutant_limits,source_file,is_northern_virginia,unverified_fields
"Amazon Data Services, Inc",74329,2026-03-26,Minor NSR,Spotsylvania County,Northern,,"IAD870: 4195 Turner Ct, IAD871: 4197 Turner Ct, IAD872: 4193 Turner Ct, IAD873: 4191 Turner Ct, IAD874: 4199 Turner Ct, IAD875: TBD, IAD876: TBD, Fredericksburg, Virginia 22408",,,,diesel,p. 10: 02) shall not operate more than 500 hours per year for all purposes (as provided in | p. 10: 02) shall not operate more than 35 hours per year for Scheduled MCRT (as provided,p. 12: Nitrogen Oxides (NO as NO ) 16.82 lb/hr 13.28 lb/hr | p. 12: Particulate Matter (PM) 0.14 lb/hr 0.16 lb/hr | p. 12: Particulate Matter (PM ) 0.17 lb/hr 0.21 lb/hr,raw/deq_va/743292_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,74332,2026-01-30,Minor NSR,Fairfax County,Northern,,"13775 McLearen Road, Herndon, VA 20171",,,,diesel,"p. 8: operate more than 500 hours per year for all purposes (as provided in Condition 3) | p. 8: shall not operate more than 3,200 hours per year for all purposes (as provided in | p. 8: operate more than 29 hours per year for Scheduled MCRT (as provided in Condition",,raw/deq_va/743322_DC_Permit.pdf,True,site_name;permit_url;generator_count;generator_capacity_mw
Amazon Data Services IAD-45,74333,,Minor NSR,Prince William County,Northern,,"IAD-45, 8870 Hornbaker Rd, Manassas, Virginia 20109",,,,diesel,"p. 9: a. No single unit (Ref. Nos. 23, T1 and T2) shall operate more than 500 hours per year | p. 9: b. No single unit (Ref. Nos. 23, T1 and T2) shall operate more than 35 hours per year for",,raw/deq_va/743331_DC_Permit.pdf,True,issuance_date;permit_url;generator_count;generator_capacity_mw
"SDC Ashburn I, LLC",74335,2026-03-20,Minor NSR,Loudoun County,Northern,,"44595 Low Latency Lane, Sterling, VA 20166",,,,diesel,p. 9: through GEN-D6) shall not operate more than 48 hours per year for scheduled maintenance | p. 9: shall not operate more than 500 hours per year for all purposes (as provided in Condition 5),,raw/deq_va/743351_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"13832 Redskin Acquisition, LP",74336,2026-05-22,Minor NSR,Fairfax County,Northern,,"IAD05 Data Center (Building E) — 2860 Towerview Road,, IAD06 Data Center (Building F) — 2850 Towerview Road,, Herndon, Virginia 20171",,,,diesel,p. 9: and PBB-002) shall not operate more than 500 hours per year for all purposes (as | p. 9: and PBB-002) shall not operate more than 30 hours per year for Scheduled MCRT (as,,raw/deq_va/743361_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74337,2026-03-20,Minor NSR,Loudoun County,Northern,,"IAD-170, 42090 Reeds Farm Ln,, Stone Ridge, Virginia",,,,diesel,p. 9: more than 500 hours per year for all purposes (as provided in Condition 6) combined | p. 9: more than 35 hours per year for Scheduled MCRT (as provided in Condition 6.c),p. 12: Nitrogen Oxides (NO as NO ) 19.48 lb/hr 38.85 lb/hr | p. 12: Carbon Monoxide (CO) 2.25 lb/hr 3.92 lb/hr | p. 12: Volatile Organic Compounds (VOC) 0.71 lb/hr 1.14 lb/hr,raw/deq_va/743371_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Vantage Data Centers VA41, LLC",74338,2026-05-12,Minor NSR,Stafford County,Northern,,"255 Centreport Parkway, Fredericksburg, VA 22406",,,,diesel,p. 7: operate more than 500 hours per year for all purposes (as provided in Condition 3) | p. 8: operate more than 29 hours per year for Scheduled MCRT (as provided in Condition,,raw/deq_va/743381_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Clean Arc Data Centers VA-1 LLC,74341,,Minor NSR,Caroline County,Northern,,"Intersection of Bull Church Rd and Ladysmith Rd, 38.020458, -77.486931",,,,diesel,"p. 10: 500 hours per year for all purposes (as provided in Condition 5), calculated daily as | p. 10: 300 hours per year when emissions are controlled by SCR calculated daily as the sum | p. 10: hours per year for scheduled maintenance checks and readiness testing (Scheduled",p. 13: Emission Factor (lb/hr),raw/deq_va/743411_DC_Permit.pdf,True,issuance_date;permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74342,2026-06-12,Minor NSR,Prince William County,Northern,,"IAD-110, IAD-111, IAD-112 and IAD-113, 7725, 7751, 7701, 7675 and 7741 Deacon Falls Drive, Gainesville, VA 20155",,,,diesel,p. 10: shall not operate more than 500 hours per year for all purposes (as provided in | p. 10: shall not operate more than 35 hours per year for Scheduled MCRT (as provided in,p. 13: 14.34 lb/hr 9.58 lb/hr 13.29 lb/hr | p. 13: 0.15 lb/hr 0.11 lb/hr 0.16 lb/hr | p. 13: 1.28 lb/hr 1.59 lb/hr 2.38 lb/hr,raw/deq_va/743421_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"DataBank Holdings Ltd – Data Center Culpeper, LLC",74348,2026-08-05,Minor NSR,Culpeper County,Northern,,"14605 and 14625 Germana Hwy, Culpeper, VA 22701",,,,diesel,"p. 9: H1, and EG6-H2) shall not operate more than 500 hours per year for all purposes (as | p. 9: H1, and EG6-H2) shall not operate more than 24 hours per year for Scheduled MCRT",p. 11: 29.18 lb/hr 26.60 lb/hr | p. 11: 4.24 lb/hr 2.25 lb/hr | p. 11: X 2 5.05 lb/hr 5.11 lb/hr,raw/deq_va/743481_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74349,2026-07-29,Minor NSR,Prince William County,,,"IAD-264, 13720 University Blvd, Gainesville, VA 20155",,,,diesel,p. 8: not operate more than 16 hours per year for scheduled maintenance checks and | p. 8: not operate more than 500 hours per year for all purposes (as provided in Condition 5),p. 10: Nitrogen Oxides (NO as NO ) 43.46 lb/hr | p. 10: Carbon Monoxide (CO) 6.95 lb/hr | p. 10: 2.58 lb/hr,raw/deq_va/743491_DC_Permit.pdf,True,regional_office;permit_url;generator_count;generator_capacity_mw
Cardinal Energy Corporation,80941,2025-10-02,Minor NSR,Frederick County,Valley,,,,,,,"p. 7: and Gen7) shall not operate for more than 1,800 hours per year, calculated monthly as the",,raw/deq_va/809416_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
DBT-DATA Cyber Integrated Center,81609,2013-10-25,New Source Review,City of Harrisonburg,VALLEY,,,,,,,,p. 7: Nitrogen Oxides 48.11 lb/hr | p. 7: Sulfur Dioxide 1.46 lb/hr | p. 7: Carbon Monoxide 5.86 lb/hr,raw/deq_va/81609_DC_Permit.pdf,False,permit_url;address;generator_count;generator_capacity_mw
