site_name,registration_number,issuance_date,program_type,city_or_county,regional_office,permit_url,address,main_parcel,generator_count,generator_capacity_mw,fuel,operating_limits,pollutant_limits,source_file,is_northern_virginia,unverified_fields
"Lemur Properties, LLC",73162,2010-03-05,Minor NSR,Reston,NORTHERN,,,,,,diesel,,"p. 7: exceed 1.25 tons per year. While these boilers are unregulated, the emissions must | p. 7: exceed 47.75 tons per year. The emissions shall be calculated monthly as the sum | p. 7: tons per year, calculated monthly as the sum of each preceding twelve consecutive",raw/deq_va/73162_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
,73170,2000-11-22,,Fairfax County,,,,,,,diesel,"p. 1: testing, and operational training. Each generator shall operate not more than 300 hours per year",,raw/deq_va/73170_DC_Permit.pdf,True,site_name;program_type;regional_office;permit_url;address;generator_count;generator_capacity_mw
"Dupont Fabros Technologies, Inc",73180,2008-08-07,Minor NSR,,NORTHERN,,,,,,diesel,,,raw/deq_va/73180_DC_Permit.pdf,True,city_or_county;permit_url;address;generator_count;generator_capacity_mw
Equinix,73199,2009-04-28,,Loudoun County,NORTHERN,,,,,,diesel,,p. 10: SCR x 41.16 lb/hr) + (Total monthly hours of operation of the engine- | p. 10: generator sets with SCR x 1.70 lb/hr)] + 2000 | p. 10: CO = (Total monthly hours of operation of the engine-generator sets x 4.01 lb/hr),raw/deq_va/73199_DC_Permit.pdf,True,program_type;permit_url;address;generator_count;generator_capacity_mw
Verizon Business,73200,2006-10-19,,Manassas,,,,,,,diesel,,,raw/deq_va/7320002_DC_Permit.pdf,False,program_type;regional_office;permit_url;address;generator_count;generator_capacity_mw
,73200,2007-10-18,Minor NSR,"Manassas, Virginia",,,,,,,diesel,,,raw/deq_va/7320003_DC_Permit.pdf,False,site_name;regional_office;permit_url;address;generator_count;generator_capacity_mw
"Gannett Co., Inc",73230,2009-01-09,,,NORTHERN,,,,,,diesel,,p. 8: lb/hr) * 2000 | p. 8: CO = (Total monthly hours of operation of the engine-generator sets x 2.97 lb/hr),raw/deq_va/73230_DC_Permit.pdf,True,program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
"Equinix, LLC",73233,2024-03-19,Minor NSR,Loudoun County,NORTHERN,,"21691, 21701, 21711, 21715 and 21721 Filigree Court, Ashburn, Virginia 20147",,,,diesel,"p. 10: DC11EG-1 through DC11EG-9) shall operate more than 500 hours per year | p. 10: not operate more than combined total of 900 hours per year | p. 10: hours per year, calculated monthly as the sum of each consecutive 12-month period",,raw/deq_va/73233_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
21571 Beaumeade Circle LLC,73240,2024-09-20,Minor NSR,Loudoun County,Northern,,"21571 Beaumeade Circle, Ashburn, Virginia 20147",,,,diesel,,,raw/deq_va/73240_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,73293,2010-08-12,,,NORTHERN,,,,,,diesel,"p. 6: not exceed 1,700 hours per year, calculated monthly as the sum of each consecutive twelve",,raw/deq_va/73293_DC_Permit.pdf,True,site_name;program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",73294,2024-10-11,Minor NSR,Fairfax County,Northern,,,,,,diesel,"p. 21: than 500 hours per year, calculated monthly as the sum of each consecutive 12 month",,raw/deq_va/73294_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
VeriSign Incorporated,73341,2008-07-25,Minor NSR,,,,,,,,diesel,,,raw/deq_va/73341_DC_Permit.pdf,False,city_or_county;regional_office;permit_url;address;generator_count;generator_capacity_mw
,73355,2025-05-19,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 9: Transitory Generators 1 through 4) shall not operate more than 500 hours per year,,raw/deq_va/73355_DC_Permit.pdf,True,site_name;permit_url;address;generator_count;generator_capacity_mw
Inova Nokes Data Center,73363,2014-07-16,Minor NSR,Loudoun County,NORTHERN,,"45745 Nokes Boulevard, Dulles, Virginia 20166",,,,diesel,,,raw/deq_va/73363_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"New Dominion Technology Park, LLC",73369,2025-09-16,,Fairfax County,,,,,,,diesel,"p. 5: NDIIG2) shall not operate more than 500 hours per year each. The operating hours shall be | p. 5: operate more than 500 hours per year, calculated monthly as the sum of each consecutive",p. 8: tons per year. The NOx emissions shall be calculated using the following equation | p. 8: NOx Emissions (tons per year) =,raw/deq_va/733693_DC_Permit.pdf,True,program_type;regional_office;permit_url;address;generator_count;generator_capacity_mw
"DuPont Fabros Technology, Inc",73370,2013-08-27,Minor NSR,,NORTHERN,,,,,,diesel,"p. 71: operate more than 340 hours per year, calculated monthly as the sum of each consecutive",p. 12: current month while SCR is operational x 3.7 lb/hr*) + 2000 | p. 12: current month while SCR is not operating x 37.0 lb/hr*) | p. 12: current month x 37.0 lb/hr*) + 2000,raw/deq_va/7337012_DC_Permit.pdf,True,city_or_county;permit_url;address;generator_count;generator_capacity_mw
"Elk Ventures, LLC (ACC 9)",73370,2016-12-07,Minor NSR,Loudoun County,NORTHERN,,"21745 Sir Timothy Drive, Ashburn, VA 20147",,,,diesel,,,raw/deq_va/7337015_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Gazelle Ventures, LLC (ACC10)",73370,2017-08-23,Minor NSR,Loudoun County,NORTHERN,,"21744 Sir Timothy Drive, Ashbum, VA 20147",,,,diesel,,,raw/deq_va/7337016_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Digital Reston, LLC",73567,2007-11-07,,,Northern,,,,,,diesel,,,raw/deq_va/73567_DC_Permit.pdf,True,program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
"VISA U.S.A., Inc",73643,2007-12-19,Minor NSR,,,,,,,,diesel,,,raw/deq_va/7364301_DC_Permit.pdf,False,city_or_county;regional_office;permit_url;address;generator_count;generator_capacity_mw
"VISA, Inc",73643,2009-08-28,Minor NSR,,NORTHERN,,,,,,diesel,,,raw/deq_va/7364303_DC_Permit.pdf,True,city_or_county;permit_url;address;generator_count;generator_capacity_mw
,73643,2010-04-29,Minor NSR,,NORTHERN,,,,,,diesel,,,raw/deq_va/7364304_DC_Permit.pdf,True,site_name;city_or_county;permit_url;address;generator_count;generator_capacity_mw
,73643,2011-10-13,,,NORTHERN,,,,,,,,,raw/deq_va/7364305_DC_Permit.pdf,True,site_name;program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
Digital Realty Trust/Digital Loudoun Pkwy Center N LLC,73670,2014-01-29,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,,p. 16: 23. Emission Statement - The owner of a stationary source emitting twenty-five tons per year,raw/deq_va/7367012_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
,73670,2025-03-14,Title V,Loudoun County,Northern,,,,,,diesel,"p. 20: hours per year, calculated monthly as the sum of each consecutive 12-month period. Refer to",p. 27: tons per year or more of volatile organic compounds or nitrogen oxides shall submit a completed,raw/deq_va/7367014_DC_Permit.pdf,True,site_name;permit_url;address;generator_count;generator_capacity_mw
Corporate Office Properties Trust (COPT),73683,2021-08-24,Minor NSR,Prince William County,NORTHERN,,"COPT DC-6, LLC, 9651 Hornbaker Road, Manassas, VA 20109",,,,diesel,"p. 11: hours per year for unscheduled maintenance, testing, operational training, and scheduled | p. 11: more than 500 hours per year for all purposes (as provided in Condition 7) combined. The | p. 11: G6) shall not operate more than 500 hours per year for all purposes (as provided in",p. 14: Nitrogen Oxides (NO as NO ) 38.85 lb/hr | p. 14: Carbon Monoxide (CO) 3.95 lb/hr | p. 14: Volatile Organic Compounds (VOC) 1.13 lb/hr,raw/deq_va/73683_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Visa, Inc",73717,2009-01-15,,,NORTHERN,,,,,,diesel,,,raw/deq_va/7371701_DC_Permit.pdf,True,program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
"Zayo Group, LLC",73717,2019-05-29,Minor NSR,Fairfax County,NORTHERN,,"Zayo Group, LLC, 1764A Old Meadow Lane, McLean, Virginia 22102",,,,diesel,p. 7: a. No single unit shall operate more than 500 hours per year for all purposes (as provided | p. 7: b. No single unit shall operate more than 100 hours per year for maintenance checks and,,raw/deq_va/7371703_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",73741,2026-01-20,Minor NSR,Prince William County,Northern,,,,,,diesel,"p. 12: at IAD-7/IAD11/IAD-24) shall operate more than 500 hours per year, calculated monthly | p. 12: 7) shall not operate more than 100 hours per year for maintenance checks and readiness | p. 12: testing (as provided in Conditions 5.c and 5.d) and no more than 500 hours per year for all",,raw/deq_va/7374123_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
DataBank Holdings Ltd,73743,2025-08-04,Minor NSR,Loudoun County,Northern,,"IAD-1, IAD-3, and IAD-4, 21635, 21630, and 21625 Red Rum Drive, Ashburn, VA 20147",,,,diesel,"p. 9: EG4-12, EG4BB1, and EG4BB2) shall not operate more than 500 hours per year for | p. 9: shall not operate more than 100 hour per year for scheduled maintenance checks and | p. 9: 25 hours per year for scheduled maintenance checks and readiness testing (Scheduled",,raw/deq_va/73743_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
,73757,2024-07-30,Minor NSR,Loudoun County,Northern,,"44874 Moran Road, Dulles, VA 20166",,,,diesel,"p. 8: operate more than 218 hours per year, calculated monthly as the sum of each consecutive | p. 8: hours per year for scheduled maintenance checks and readiness testing (Scheduled MCRT",,raw/deq_va/73757_DC_Permit.pdf,True,site_name;permit_url;generator_count;generator_capacity_mw
Northrop Grumman Systems Corporation,73798,2011-01-28,,,NORTHERN,,,,,,diesel,"p. 6: No 1-4) shall each be less than 500 hours per year, calculated monthly as the sum of each",,raw/deq_va/73798_DC_Permit.pdf,True,program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
"Terremark Federal Group, Inc",73809,2010-06-03,,,NORTHERN,,,,,,diesel,"p. 6: HTC2, and HTC3) shall not exceed 500 hours per year each, calculated monthly as the sum",,raw/deq_va/73809_DC_Permit.pdf,True,program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
Northrop Grumman Systems Corporation,73813,2011-01-26,,,NORTHERN,,,,,,diesel,,,raw/deq_va/73813_DC_Permit.pdf,True,program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
Level 3 Communications,73823,2014-11-17,,Fairfax County,NORTHERN,,,,,,diesel,,,raw/deq_va/73823_DC_Permit.pdf,True,program_type;permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",73853,2024-08-27,Minor NSR,Loudoun County,Northern,,,,,,diesel,"p. 9: operate more than 35 hours per year for scheduled maintenance checks and readiness | p. 9: operate more than 32 hours per year for scheduled maintenance checks and readiness | p. 9: T4, and S1) shall not operate more than 500 hours per year for all purposes (as",,raw/deq_va/73853_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",73860,2025-01-30,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 11: 62) shall not operate more than 32 hours per year for scheduled maintenance checks and | p. 11: through T6) shall not operate more than 500 hours per year for all purposes (as provided in,p. 14: Nitrogen Oxides (NO as NO ) 53.48 lb/hr 4.44 lb/hr | p. 14: Particulate Matter (PM ) 0.20 lb/hr | p. 14: Carbon Monoxide (CO) 3.10 lb/hr,raw/deq_va/73860_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"VADATA, Incorporated",73868,2011-04-14,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,,,raw/deq_va/73868_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
,73935,2024-12-03,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 8: and C00 – C08) shall not operate more than 100 hours per year for maintenance checks and | p. 8: readiness testing and no more than 500 hours per year for all purposes (as provided in | p. 8: shall not operate more than 24 hours per year for scheduled maintenance checks and,,raw/deq_va/73935_DC_Permit.pdf,True,site_name;permit_url;address;generator_count;generator_capacity_mw
"Equinix, LLC",73946,2024-10-01,Minor NSR,Loudoun County,Northern,,,,,,diesel,"p. 12: operate more than 100 hours per year for all purposes (as provided in Condition 7) | p. 13: a. No single unit (Engine Group DC-15) shall operate more than 500 hours per year for | p. 13: than 170 hours per year for all purposes (as provided in Condition 7), calculated",p. 16: 10.30 lb/hr 38.85 lb/hr 56.97 lb/hr | p. 16: - 3.91 lb/hr 2.39 lb/hr | p. 16: - 1.13 lb/hr 1.03 lb/hr,raw/deq_va/7394606_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"RagingWire Enterprise Solutions, Inc",73954,2011-11-07,Minor NSR,,NORTHERN,,,,,,diesel,"p. 7: 7, A - H and J - M) shall not exceed 1580 hours per year, calculated monthly as the sum of",,raw/deq_va/73954_DC_Permit.pdf,True,city_or_county;permit_url;address;generator_count;generator_capacity_mw
The Aerospace Corporation,73977,2012-04-09,,,NORTHERN,,,,,,diesel,"p. 6: 500 hours per year, calculated monthly as the sum of each consecutive twelve month period | p. 6: through G-4) shall not exceed 1,500 hours per year, calculated monthly as the sum of each consecutive",p. 8: 19.24 lb/hr) + (Total monthly hours of operation of the engine-generator sets Unit Ref | p. 8: No.'s G-2 through G-4 x 9.14 lb/hr) + (Total monthly hours of operation of the engine- | p. 8: generator sets Unit Ref. No.'s G-2 through G-4 x 60.08 lb/hr)) + 2000,raw/deq_va/7397701_DC_Permit.pdf,True,program_type;city_or_county;permit_url;address;generator_count;generator_capacity_mw
The Aerospace Corporation,73977,2013-08-19,Minor NSR,Fairfax County,NORTHERN,,,,,,diesel,,p. 4: 19.24 lb/hr*) + (Total monthly hours of operation .with SCR operating) of the engine- | p. 4: generator sets Unit Ref. No.'s G-2 through G-4 x 9.14 lb/hr*) + (Total monthly hours of | p. 4: through G-4 x 60.08 lb/hr*)) * 2000,raw/deq_va/7397702_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"VADATA, Inc",73995,2014-05-08,New Source Review,Prince William County,NORTHERN,,,,,,diesel,,,raw/deq_va/73995_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74049,2024-05-08,Minor NSR,Loudoun County,NORTHERN,,"IAD-50, IAD-60, IAD-71, IAD-78, IAD-79, and IAD-80, 21271, 21267, and 21263 Smith Switch Road and, 44862, 44858, and 44854 Interconnection Plaza, Ashburn, Virginia 20147",,,,diesel,p. 8: than 100 hours per year for maintenance checks and readiness testing | p. 8: and 106) shall not operate more than 35 hours per year for scheduled maintenance checks | p. 8: Generator 1 through 4) shall not operate more than 500 hours per year for all purposes (as,,raw/deq_va/74049_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74052,2023-04-25,Minor NSR,Prince William County,NORTHERN,,"IAD-55 15395 John Marshall Hwy., IAD-64 15465 John Marshall Hwy., IAD-84 15455 John Marshall Hwy., IAD-94 15454 John Marshall Hwy., Haymarket, Virginia 20169",,,,diesel,"p. 8: 500 hours per year for all purposes (as provided in Condition 6), calculated monthly as the | p. 9: through 60, S1, and T2 through T8) shall operate no more than 32 hours per year for | p. 9: 500 hours per year for all purposes (as provided in Condition 6) combined",p. 11: Nitrogen Oxides (as NO ) 48.07 lb/hr | p. 11: Carbon Monoxide (CO) 6.01 lb/hr | p. 11: Volatile Organic Compounds (VOC) 1.20 lb/hr,raw/deq_va/74052_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
U.S. Customs and Border Protection (CBP),74060,2014-07-31,Minor NSR,Springfield,NORTHERN,,"7681 Boston Blvd.,, Springfield, VA 22153",,,,diesel,,,raw/deq_va/74060_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74063,2026-07-07,Minor NSR,Loudoun County,Northern,,,,,,diesel,"p. 10: operate no more than 32 hours per year for Scheduled MCRT (as provided in | p. 10: through L21, L29, and L38) shall operate no more than 35 hours per year for",p. 12: Nitrogen Oxides (NO as NO ) 4.46 lb/hr | p. 12: X 2 53.48 lb/hr | p. 12: Particulate Matter (PM ) 0.18 lb/hr,raw/deq_va/740635_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"VADATA, Incorporated",74064,2014-02-14,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,,,raw/deq_va/74064_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
,74079,2021-04-28,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,"p. 9: than 200 hours per year, calculated monthly as the sum of each consecutive 12 month period. Each | p. 9: without urea injection for more than 50 hours per year, calculated monthly as the sum of each | p. 9: shall not operate more than 36 hours per year for scheduled maintenance and readiness testing",p. 11: Nitrogen Oxides (NO as NO ) 36.56 lb/hr 58.11 lb/hr | p. 11: Carbon Monoxide (CO) 5.03 lb/hr 11.51 lb/hr | p. 11: Volatile Organic Compounds (VOC) 0.63 lb/hr 0.56 lb/hr,raw/deq_va/74079_DC_Permit.pdf,True,site_name;permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74080,2025-01-21,Minor NSR,Loudoun County,Northern,,,,,,diesel,"p. 8: T1 through T8) shall operate more than 500 hours per year, calculated monthly as the sum | p. 8: than 32 hours per year for scheduled maintenance checks and readiness testing | p. 8: hours per year for scheduled maintenance checks and readiness testing (Scheduled",p. 10: 0.40 lb/hr 0.44 lb/hr 0.17 lb/hr 0.57 lb/hr | p. 10: 48.06 lb/hr 30.75 lb/hr 9.31 lb/hr 38.85 lb/hr | p. 10: 6.09 lb/hr 5.78 lb/hr 2.20 lb/hr 3.96 lb/hr,raw/deq_va/74080_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74081,2024-07-08,Minor NSR,Prince William County,Northern,,"IAD-73, IAD-74, IAD-602, IAD-193, & IAD-194, 7060, 7070, 7080 Wellington Rd and, 8300 and 8400 Buckeye Timber Drive, Manassas, VA 20109",,,,diesel,"p. 8: through 20, and 34 through 80) shall not operate more than 35 hours per year for scheduled | p. 8: T6) shall not operate more than 500 hours per year for all purposes (as provided in",,raw/deq_va/74081_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74085,2022-11-21,Minor NSR,Loudoun County,NORTHERN,,"IAD-62, IAD-68, IAD-81, IAD-83, IAD-93,, IAD-609, IAD-614 Data Centers, 42949, 42948, 42800, 42948 Fadeley Lane, 24178, 24185 Upper Woodside Lane, Sterling, VA 20166",,,,diesel,"p. 9: hours per year, calculated monthly as the sum of each consecutive 12-month period. Of that | p. 9: amount, the company shall operate no more than 100 hours per year for scheduled | p. 9: 99) shall not operate more than 32 hours per year for scheduled maintenance checks and",p. 11: Nitrogen Oxides (NO as NO ) 14.20 lb/hr 9.51 lb/hr 30.75 lb/hr | p. 11: Carbon Monoxide (CO) 4.73 lb/hr 1.59 lb/hr 5.78 lb/hr | p. 11: Volatile Organic Compounds 0.33 lb/hr 0.87 lb/hr,raw/deq_va/74085_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"CyrusOne, LLC",74086,2016-11-01,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,"p. 7: 025, E, F, G, and H,) shall not operate more than a combined total of 3,220 hours per year | p. 7: G, and H) shall operate more than 500 hours per year, calculated daily as the sum of each | p. 7: hours per year, and no single emergency diesel engine gen-set (Ref. Nos. A40, B40, R40",,raw/deq_va/74086_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"RagingWire Data Centers, Inc",74094,2016-01-13,,Loudoun County,NORTHERN,,,,,,diesel,,,raw/deq_va/74094_DC_Permit.pdf,True,program_type;permit_url;address;generator_count;generator_capacity_mw
Abteen Ventures LLC (MCC1),74107,2021-07-26,Minor NSR,Prince William County,NORTHERN,,,,,,diesel,"p. 8: through 103) shall not operate more than 20 hours per year for scheduled maintenance and | p. 8: readiness testing, and more than 500 hours per year for all purposes (as provided in",p. 11: Nitrogen Oxides (as NO ) 58.51 lb/hr | p. 11: Carbon Monoxide (CO) 7.61 lb/hr | p. 11: Volatile Organic Compounds (VOC) 0.85 lb/hr,raw/deq_va/74107_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"CyrusOne, LLC",74109,2016-10-13,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,"p. 6: than a combined total of 4,200 hours per year, and no single emergency diesel engine- | p. 6: generator set shall operate more than 500 hours per year, calculated monthly as the sum",,raw/deq_va/74109_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Iron Mountain Information Management, LLC",74112,2026-04-18,Minor NSR,Prince William County,Northern,,,,,,diesel,"p. 10: 21 and 46 through 50) combined shall not operate more than 644 hours per year and | p. 10: shall not operate more than 500 hours per year for all purposes as provided in | p. 10: and 51 through 70) combined shall not operate more than 1,232 hours per year and",p. 12: 61.91 lb/hr 58.51 lb/hr 49.49 lb/hr 11.83 lb/hr 29.18 lb/hr | p. 12: 10.00 lb/hr 6.05 lb/hr 1.99 lb/hr 1.10 lb/hr 4.24 lb/hr | p. 12: 2.80 lb/hr 2.87 lb/hr 0.95 lb/hr 0.46 lb/hr 0.81 lb/hr,raw/deq_va/741125_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"CyrusOne, LLC",74114,2022-09-06,Minor NSR,Loudoun County,NORTHERN,,,,,,diesel,p. 11: operate more than 18 hours per year for scheduled maintenance checks and readiness | p. 12: operate more than 500 hours per year for all purposes (as provided in Condition 9),p. 13: Nitrogen Oxides (as NO ) 44.07 lb/hr 43.29 lb/hr | p. 13: Carbon Monoxide (CO) 7.16 lb/hr 4.04 lb/hr | p. 13: 0.91 lb/hr 1.19 lb/hr,raw/deq_va/74114_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74115,2024-10-21,Minor NSR,Prince William County,Northern,,"8180, 8190, 8200, and 8210 Bethlehem Road, (IAD-95, IAD-96, IAD-75, and IAD-85), in Manassas, Virginia",,,,diesel,p. 8: operate more than 35 hours per year for scheduled maintenance checks and readiness testing | p. 8: operate more than 500 hours per year for all purposes (as provided in Condition 3),p. 9: Nitrogen Oxides (as NO 2 ) 48.07 lb/hr 48.06 lbs/hr 38.85 lb/hr | p. 9: Carbon Monoxide (CO) 6.01 lb/hr 6.09 lbs/hr 3.95 lb/hr | p. 9: 1.20 lb/hr 1.21 lbs/hr 1.14 lb/hr,raw/deq_va/74115_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Cashvad Ventures LLC,74118,2026-04-27,Minor NSR,Prince William County,Northern,,"10400 Harry J Parrish Blvd, Manassas, VA 20110",,,,diesel,,,raw/deq_va/741183_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"NTT Global Data Centers Americas, Inc",74120,2025-07-11,Minor NSR,Loudoun County,Northern,,,,,,diesel,p. 10: a. No single unit shall operate more than 500 hours per year for all purposes (as provided | p. 10: b. No single unit shall operate more than 24 hours per year for scheduled maintenance,p. 12: 28.77 lb/hr 61.48 lb/hr 60.01 lb/hr 29.37 lb/hr | p. 12: 5.45 lb/hr 13.86 lb/hr 8.29 lb/hr 7.83 lb/hr | p. 12: Compounds 0.35 lb/hr 2.81 lb/hr 2.64 lb/hr 1.05 lb/hr,raw/deq_va/74120_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74121,2024-11-06,Minor NSR,Loudoun County,Northern,,"IAD-90, IAD-91 and IAD-92 Data Centers, 45900, 45930, 45950 Pathfinder Way, Sterling, VA 20164",,,,diesel,p. 8: T4) shall not operate more than 35 hours per year for scheduled maintenance checks and | p. 8: T4) shall not operate more than 500 hours per year for all purposes (as provided in,,raw/deq_va/74121_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Digital Realty,74126,2022-10-12,Minor NSR,Loudoun County,NORTHERN,,"IAD 39, IAD 40, IAD 41 & IAD 73: 44274, 44372, 44751, and, 44540 Round Table Plaza, Ashburn, Virginia 20147 and, IAD 42 & IAD 43: 22125 Broderick Drive and 44820 Prentice, Drive, Sterling, Virginia 20166",,,,diesel,"p. 9: operate more than 100 hours per year, calculated monthly as the sum of each | p. 9: b. No single unit shall operate more than 500 hours per year, calculated monthly as the",p. 13: 6.16 lb/hr 9.92 lb/hr | p. 13: 4.23 lb/hr 2.71 lb/hr | p. 13: 0.88 lb/hr 0.88 lb/hr,raw/deq_va/74126_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
Data Center Vint Hill LLC,74127,2026-01-20,Minor NSR,Fauquier County,Northern,,"Data Center Vint Hill LLC, 6872 Watson Court, Warrenton, VA 20186",,,,diesel,p. 8: operate more than 100 hours per year for scheduled maintenance checks and readiness | p. 8: training (as provided in Conditions 6.c and 6.d) and no more than 500 hours per year | p. 8: not operate more than 30 hours per year for scheduled maintenance checks and,p. 10: Nitrogen Oxides (NO as NO ) 35.15 lb/hr 87.88 tons/yr | p. 10: Carbon Monoxide (CO) 4.69 lb/hr 11.73 tons/yr | p. 10: Volatile Organic Compounds (VOC) 1.72 lb/hr 4.30 tons/yr,raw/deq_va/741273_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Amazon Data Services, Inc",74129,2021-06-28,Minor NSR,Prince William County,NORTHERN,,"IAD-100, IAD-101, IAD-102 and IAD-103 Data Centers, 10321, 10301, 10281, and 10261 Tanner Way, Manassas, Virginia 20110",,,,diesel,p. 10: 92 and T1) shall not operate more than 100 hours per year for maintenance checks and | p. 10: readiness testing (MC/RT) and no more than 500 hours per year for all purposes (as | p. 10: through S3) shall not operate more than 26 hours per year for scheduled maintenance1,,raw/deq_va/74129_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"CoreSite Real Estate Sunrise Technology Park, LLC",74130,2022-03-03,Minor NSR,Fairfax County,NORTHERN,,,,,,diesel,p. 7: EG034) shall not operate more than 100 hours per year,p. 9: Nitrogen Oxides (NO as NO ) 8.37 lb/hr 2.51 tpy | p. 9: Carbon Monoxide (CO) 0.61 lb/hr 0.18 tpy | p. 9: Volatile Organic Compounds (VOC) 0.16 lb/hr 0.05 tpy,raw/deq_va/74130_DC_Permit.pdf,True,permit_url;address;generator_count;generator_capacity_mw
"QTS Investment Properties Ashburn, LLC",74141,2025-06-10,Minor NSR,Loudoun County,Northern,,"DC1: 22271 Broderick Drive, DC2: 22280 Randolph Drive, Sterling, VA 20164",,,,diesel,p. 8: shall not operate more than 30 hours per year for scheduled maintenance checks and | p. 8: shall not operate more than 102 hours per year for all purposes (as provided in | p. 9: shall not operate more than 500 hours per year for all purposes (as provided in,p. 10: 10.86 lb/hr 56.34 lb/hr 48.06 lb/hr 24.09 lb/hr | p. 10: Carbon Monoxide (CO) 1.14lb/hr 8.45lb/hr 6.09 lb/hr 2.10 lb/hr | p. 10: Particulate Matter (PM ) 0.19lb/hr 0.94lb/hr 0.58 lb/hr 0.27lb/hr,raw/deq_va/74141_DC_Permit.pdf,True,permit_url;generator_count;generator_capacity_mw
"Equinix, LLC",74147,2020-02-26,Minor NSR,Loudoun County,,,"Equinix, LLC, 21830UunetWay, Ashburn, VA20147",,,,diesel,"p. 6: EG-1 through EG-8) shall not operate more than 150 hours per year, calculated monthly as",,raw/deq_va/74147_DC_Permit.pdf,True,regional_office;permit_url;generator_count;generator_capacity_mw
