deq_site_name,deq_registration_number,landmarc_project_id,landmarc_project_name,name_confidence,address_confidence,parcel_confidence,overall_confidence,confidence_basis,review_status
"Amazon Data Services, Inc",74274,lm-de5af81cd411,,,0.7446808510638298,,0.7446808510638298,address,unreviewed
"Amazon Data Services, Inc",74274,lm-eb9f6b477e22,,,0.723404255319149,,0.723404255319149,address,unreviewed
"Ashburn Data Property Owner, L.P",74276,lm-6b2c3185fda3,,,0.96,,0.96,address,unreviewed
"Ashburn Data Property Owner, L.P",74276,lm-8710f041c746,,,0.96,,0.96,address,unreviewed
"Ashburn Data Property Owner, L.P",74276,lm-c21a206df025,,,0.9333333333333333,,0.9333333333333332,address,unreviewed
"Amazon Data Services, Inc",74277,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74277,lm-1e287191725e,TUSCARORA CROSSING PROJECT,0.36,,,0.36,name,unreviewed
"Amazon Data Services, Inc",74277,lm-d45bf7fce471,,,0.3401360544217687,,0.3401360544217687,address,unreviewed
"Amazon Data Services, Inc",74278,lm-49a3c6dd0c8e,,,0.4036697247706422,,0.4036697247706422,address,unreviewed
"Amazon Data Services, Inc",74278,lm-6db89be46e9d,,,0.39215686274509803,,0.39215686274509803,address,unreviewed
"Amazon Data Services, Inc",74278,lm-ede96c912ff0,,,0.39215686274509803,,0.39215686274509803,address,unreviewed
"Vantage Data Centers VA3, LLC",74284,lm-04ea6bc95c16,,,0.6605504587155964,,0.6605504587155964,address,unreviewed
"Vantage Data Centers VA3, LLC",74284,lm-90f39cd0d825,,,0.6605504587155964,,0.6605504587155964,address,unreviewed
"Vantage Data Centers VA3, LLC",74284,lm-917aa9e89fee,,,0.6605504587155964,,0.6605504587155964,address,unreviewed
"Vantage Data Centers VA16, LLC",74287,lm-48b4b8aa12cc,ARCOLA CENTER PROJECT,0.44,,,0.44,name,unreviewed
"Vantage Data Centers VA16, LLC",74287,lm-a86590d462a3,ARCOLA CENTER PROJECT,0.44,,,0.44,name,unreviewed
"Vantage Data Centers VA16, LLC",74287,lm-75ee4f107a53,UNIVERSITY CENTER PROJECT,0.4074074074074074,,,0.4074074074074074,name,unreviewed
"Amazon Data Services, Inc",74288,lm-6530362f301b,,,0.43548387096774194,,0.43548387096774194,address,unreviewed
"Amazon Data Services, Inc",74288,lm-f65cb02b7952,,,0.43548387096774194,,0.43548387096774194,address,unreviewed
"Amazon Data Services, Inc",74288,lm-b31193f54209,,,0.41935483870967744,,0.4193548387096774,address,unreviewed
"CyrusOne, LLC",74290,lm-25071c174452,,,0.8,,0.8,address,unreviewed
"CyrusOne, LLC",74290,lm-25e07614aa99,,,0.7555555555555555,,0.7555555555555555,address,unreviewed
"CyrusOne, LLC",74290,lm-41a57fb30dc6,,,0.7555555555555555,,0.7555555555555555,address,unreviewed
Kincora Data Center LLC,74296,lm-8a1cd9019561,KINCORA PROJECT,0.47368421052631576,0.8275862068965517,,0.6063974591651542,address+name,unreviewed
Kincora Data Center LLC,74296,lm-c18871dc0388,,,0.5609756097560976,,0.5609756097560976,address,unreviewed
Kincora Data Center LLC,74296,lm-48b4b8aa12cc,ARCOLA CENTER PROJECT,0.5454545454545454,,,0.5454545454545454,name,unreviewed
"Amazon Data Services, Inc",74299,lm-14bd3c227d3e,,,0.475,,0.475,address,unreviewed
"Amazon Data Services, Inc",74299,lm-742f00d6e845,,,0.4675324675324675,,0.4675324675324675,address,unreviewed
"Amazon Data Services, Inc",74299,lm-a23a1cd8c282,,,0.4675324675324675,,0.4675324675324675,address,unreviewed
"Amazon Data Services, Inc",74300,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74300,lm-c0f488a74683,,,0.3619047619047619,,0.3619047619047619,address,unreviewed
"Amazon Data Services, Inc",74300,lm-1e287191725e,TUSCARORA CROSSING PROJECT,0.36,,,0.36,name,unreviewed
"Amazon Data Services, Inc",74301,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74301,lm-099d09e96cbd,,,0.3687150837988827,,0.3687150837988827,address,unreviewed
"Amazon Data Services, Inc",74301,lm-ea1c229f8cd5,,,0.3687150837988827,,0.3687150837988827,address,unreviewed
"Amazon Data Services, Inc",74302,lm-1032e14cd5e1,,,0.6140350877192983,,0.6140350877192983,address,unreviewed
"Amazon Data Services, Inc",74302,lm-28f3171c04d2,,,0.6140350877192983,,0.6140350877192983,address,unreviewed
"Amazon Data Services, Inc",74302,lm-99ab5c64738c,,,0.6140350877192983,,0.6140350877192983,address,unreviewed
"MECP1 Ashburn 2, LLC",74306,lm-99c1bd0832b0,,,0.9117647058823529,,0.9117647058823529,address,unreviewed
"MECP1 Ashburn 2, LLC",74306,lm-cf801a7fdee0,,,0.9117647058823529,,0.9117647058823529,address,unreviewed
"MECP1 Ashburn 2, LLC",74306,lm-24fc08be1db1,,,0.8823529411764706,,0.8823529411764707,address,unreviewed
"Digital Filigree, LLC",74308,lm-09e176142758,SILVER DISTRICT WEST PROJECT,0.3333333333333333,,,0.3333333333333333,name,unreviewed
"Digital Filigree, LLC",74308,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.3333333333333333,,,0.3333333333333333,name,unreviewed
"Digital Filigree, LLC",74308,lm-9cddbbe14399,SILVER DISTRICT WEST PROJECT,0.3333333333333333,,,0.3333333333333333,name,unreviewed
"Amazon Data Services, Inc",74309,lm-5a2cf0b51d11,,,0.3865546218487395,,0.3865546218487395,address,unreviewed
"Amazon Data Services, Inc",74309,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74309,lm-9704c70d5520,,,0.3783783783783784,,0.3783783783783784,address,unreviewed
"1501 Moran Road Development Owner, LLC",74315,lm-abd35b3023cd,,,0.972972972972973,,0.972972972972973,address,unreviewed
"1501 Moran Road Development Owner, LLC",74315,lm-8b40435ce8dc,,,0.9459459459459459,,0.9459459459459459,address,unreviewed
"1501 Moran Road Development Owner, LLC",74315,lm-3297cfebdb04,,,0.7605633802816901,,0.7605633802816901,address,unreviewed
"Amazon Data Services, Inc",74317,lm-09e176142758,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74317,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74317,lm-9cddbbe14399,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74329,lm-1943bce07f9c,SILVER DISTRICT WEST PROJECT,0.38461538461538464,,,0.38461538461538464,name,unreviewed
"Amazon Data Services, Inc",74329,lm-1e287191725e,TUSCARORA CROSSING PROJECT,0.36,,,0.36,name,unreviewed
